class,order,family,genus
Magnoliopsidae,Poales,Gramineae,Eleusine
Magnoliopsidae,Poales,Gramineae,Digitaria
Magnoliopsidae,Fabales,Leguminosae-Pap.,Crotalaria
Magnoliopsidae,Poales,Gramineae,Cenchrus
Magnoliopsidae,Fabales,Leguminosae-Caes.,Gilbertiodendron
Magnoliopsidae,Fabales,Leguminosae-Pap.,Desmodium
Magnoliopsidae,Poales,Gramineae,Diheteropogon
Magnoliopsidae,Lamiales,Scrophulariaceae,Striga
Magnoliopsidae,Poales,Gramineae,Eragrostis
Magnoliopsidae,Poales,Gramineae,Andropogon
Magnoliopsidae,Poales,Gramineae,Eriochloa
Magnoliopsidae,Poales,Gramineae,Sporobolus
Magnoliopsidae,Poales,Gramineae,Loudetia
Magnoliopsidae,Poales,Cyperaceae,Cyperus
Magnoliopsidae,Fabales,Leguminosae-Pap.,Tephrosia
Magnoliopsidae,Poales,Gramineae,Schizachyrium
Magnoliopsidae,Solanales,Solanaceae,Schwenckia
Magnoliopsidae,Poales,Gramineae,Echinochloa
Magnoliopsidae,Poales,Gramineae,Dactyloctenium
Magnoliopsidae,Poales,Gramineae,Urochloa
Magnoliopsidae,Poales,Gramineae,Microchloa
Magnoliopsidae,Poales,Gramineae,Oropetium
Magnoliopsidae,Gentianales,Gentianaceae,Neurotheca
Magnoliopsidae,Malpighiales,Flacourtiaceae,Oncoba
Magnoliopsidae,Ericales,Sapotaceae,Synsepalum
Magnoliopsidae,Poales,Gramineae,Panicum
Magnoliopsidae,Poales,Gramineae,Chloris
Magnoliopsidae,Poales,Cyperaceae,Eleocharis
Magnoliopsidae,Poales,Gramineae,Enteropogon
Magnoliopsidae,Poales,Gramineae,Setaria
Magnoliopsidae,Poales,Gramineae,Schoenefeldia
Magnoliopsidae,Vitales,Vitaceae,Cissus
Magnoliopsidae,Fabales,Leguminosae-Pap.,Indigofera
Magnoliopsidae,Gentianales,Rubiaceae,Psychotria
Magnoliopsidae,Gentianales,Rubiaceae,Spermacoce
Magnoliopsidae,Poales,Cyperaceae,Kyllinga
Magnoliopsidae,Poales,Gramineae,Paspalum
Magnoliopsidae,Poales,Gramineae,Hackelochloa
Magnoliopsidae,Poales,Cyperaceae,Bulbostylis
Magnoliopsidae,Magnoliales,Annonaceae,Guatteria
Magnoliopsidae,Poales,Cyperaceae,Lipocarpha
Magnoliopsidae,Gentianales,Rubiaceae,Cuviera
Magnoliopsidae,Oxalidales,Connaraceae,Jollydora
Magnoliopsidae,Lamiales,Acanthaceae,Isoglossa
Magnoliopsidae,Asparagales,Orchidaceae,Calanthe
Magnoliopsidae,Poales,Gramineae,Oryza
Magnoliopsidae,Rosales,Urticaceae,Poikilospermum
Magnoliopsidae,Asterales,Compositae,Conyza
Magnoliopsidae,Asparagales,Amaryllidaceae,Galanthus
Magnoliopsidae,Poales,Cyperaceae,Carex
Magnoliopsidae,Poales,Gramineae,Agrostis
Magnoliopsidae,Malpighiales,Euphorbiaceae,Emblica
Magnoliopsidae,Ranunculales,Menispermaceae,Abuta
Magnoliopsidae,Fabales,Leguminosae-Pap.,Alysicarpus
Magnoliopsidae,Gentianales,Rubiaceae,Oldenlandia
Magnoliopsidae,Magnoliales,Annonaceae,Xylopia
Magnoliopsidae,Magnoliales,Annonaceae,Unonopsis
Magnoliopsidae,Magnoliales,Annonaceae,Duguetia
Basidiomycota,Polyporales,Fomitopsidaceae,Antrodia
Magnoliopsidae,Poales,Gramineae,Tragus
Magnoliopsidae,Poales,Cyperaceae,Fimbristylis
Magnoliopsidae,Malvales,Tiliaceae,Triumfetta
Magnoliopsidae,Lamiales,Acanthaceae,Hygrophila
Magnoliopsidae,Magnoliales,Annonaceae,Piptostigma
Magnoliopsidae,Solanales,Solanaceae,Solanum
Magnoliopsidae,Asparagales,Asparagaceae,Dracaena
Magnoliopsidae,Asparagales,Orchidaceae,Angraecum
Magnoliopsidae,Gentianales,Asclepiadaceae,Periploca
Magnoliopsidae,Lamiales,Labiatae,Lavandula
Magnoliopsidae,Brassicales,Cruciferae,Lobularia
Magnoliopsidae,Apiales,Umbelliferae,Crithmum
Magnoliopsidae,Asterales,Compositae,Senecio
Magnoliopsidae,Fabales,Leguminosae-Pap.,Lotus
Pteropsida,Polypodiales,Aspleniaceae,Asplenium
Magnoliopsidae,Asparagales,Asphodelaceae,Asphodelus
Magnoliopsidae,Asterales,Campanulaceae,Canarina
Magnoliopsidae,Brassicales,Cruciferae,Descurainia
Magnoliopsidae,Asparagales,Orchidaceae,Aerangis
Magnoliopsidae,Asparagales,Orchidaceae,Bulbophyllum
Magnoliopsidae,Asparagales,Orchidaceae,Bolusiella
Magnoliopsidae,Asparagales,Orchidaceae,Coelogyne
Magnoliopsidae,Asparagales,Orchidaceae,Chamaeangis
Magnoliopsidae,Asparagales,Orchidaceae,Corymborkis
Magnoliopsidae,Asparagales,Orchidaceae,Cryptopus
Magnoliopsidae,Asparagales,Orchidaceae,Cribbia
Magnoliopsidae,Asparagales,Orchidaceae,Cyrtorchis
Magnoliopsidae,Asparagales,Orchidaceae,Campylocentrum
Magnoliopsidae,Asparagales,Orchidaceae,Calyptrochilum
Magnoliopsidae,Asparagales,Orchidaceae,Diaphananthe
Magnoliopsidae,Asparagales,Orchidaceae,Catasetum
Magnoliopsidae,Asparagales,Orchidaceae,Tridactyle
Magnoliopsidae,Gentianales,Apocynaceae,Prestonia
Magnoliopsidae,Asparagales,Orchidaceae,Auxopus
Magnoliopsidae,Asparagales,Orchidaceae,Brachycorythis
Magnoliopsidae,Asparagales,Orchidaceae,Ansellia
Magnoliopsidae,Asparagales,Orchidaceae,Appendicula
Magnoliopsidae,Asparagales,Orchidaceae,Angraecopsis
Magnoliopsidae,Asparagales,Orchidaceae,Jumellea
Magnoliopsidae,Asparagales,Orchidaceae,Ancistrorhynchus
Magnoliopsidae,Asparagales,Orchidaceae,Polystachya
Magnoliopsidae,Asparagales,Orchidaceae,Aeranthes
Magnoliopsidae,Asparagales,Orchidaceae,Ancistrochilus
Magnoliopsidae,Asparagales,Orchidaceae,Amesiella
Magnoliopsidae,Myrtales,Lythraceae,Lagerstroemia
Magnoliopsidae,Fabales,Leguminosae-Caes.,Hymenostegia
Magnoliopsidae,Gentianales,Apocynaceae,Saba
Magnoliopsidae,Alismatales,Alismataceae,Echinodorus
Magnoliopsidae,Fabales,Leguminosae-Caes.,Annea
Magnoliopsidae,Fagales,Fagaceae,Lithocarpus
Magnoliopsidae,Malpighiales,Guttiferae,Garcinia
Magnoliopsidae,Fabales,Leguminosae-Pap.,Dalbergia
Magnoliopsidae,Sapindales,Burseraceae,Canarium
Magnoliopsidae,Malpighiales,Hypericaceae,Cratoxylum
Magnoliopsidae,Myrtales,Melastomataceae,Memecylon
Magnoliopsidae,Malvales,Dipterocarpaceae,Shorea
Magnoliopsidae,Fabales,Leguminosae-Pap.,Pterocarpus
Magnoliopsidae,Sapindales,Anacardiaceae,Lannea
Magnoliopsidae,Sapindales,Anacardiaceae,Gluta
Magnoliopsidae,Fabales,Leguminosae-Mim.,Xylia
Magnoliopsidae,Gentianales,Rubiaceae,Gardenia
Magnoliopsidae,Gentianales,Rubiaceae,Catunaregam
Magnoliopsidae,Malpighiales,Euphorbiaceae,Lasiococca
Magnoliopsidae,Malvales,Dipterocarpaceae,Hopea
Magnoliopsidae,Malpighiales,Violaceae,Rinorea
Magnoliopsidae,Gentianales,Rubiaceae,Canthium
Magnoliopsidae,Rosales,Moraceae,Streblus
Magnoliopsidae,Malpighiales,Euphorbiaceae,Croton
Magnoliopsidae,Malpighiales,Linaceae,Ixonanthes
Magnoliopsidae,Ericales,Theaceae,Schima
Magnoliopsidae,Malpighiales,Irvingiaceae,Irvingia
Magnoliopsidae,Malpighiales,Euphorbiaceae,Glochidion
Magnoliopsidae,Fabales,Leguminosae-Mim.,Archidendron
Magnoliopsidae,Malpighiales,Euphorbiaceae,Aporosa
Magnoliopsidae,Ericales,Lecythidaceae,Barringtonia
Magnoliopsidae,Lamiales,Labiatae,Gmelina
Magnoliopsidae,Fagales,Fagaceae,Castanopsis
Magnoliopsidae,Magnoliales,Annonaceae,Alphonsea
Magnoliopsidae,Ericales,Ebenaceae,Diospyros
Magnoliopsidae,Laurales,Lauraceae,Litsea
Magnoliopsidae,Fabales,Polygalaceae,Xanthophyllum
Magnoliopsidae,Dilleniales,Dilleniaceae,Dillenia
Magnoliopsidae,Rosales,Moraceae,Ficus
Magnoliopsidae,Malvales,Dipterocarpaceae,Anisoptera
Magnoliopsidae,Ericales,Symplocaceae,Symplocos
Magnoliopsidae,Myrtales,Myrtaceae,Syzygium
Magnoliopsidae,Lamiales,Labiatae,Callicarpa
Magnoliopsidae,Malpighiales,Euphorbiaceae,Chaetocarpus
Magnoliopsidae,Malvales,Dipterocarpaceae,Dipterocarpus
Magnoliopsidae,Fabales,Leguminosae-Pap.,Millettia
Magnoliopsidae,Oxalidales,Elaeocarpaceae,Elaeocarpus
Magnoliopsidae,Cornales,Cornaceae,Mastixia
Magnoliopsidae,Aquifoliales,Cardiopteridaceae,Gonocaryum
Magnoliopsidae,Magnoliales,Magnoliaceae,Magnolia
Magnoliopsidae,Magnoliales,Myristicaceae,Horsfieldia
Magnoliopsidae,Malpighiales,Hypericaceae,Calophyllum
Magnoliopsidae,Sapindales,Sapindaceae,Guioa
Magnoliopsidae,Boraginales,Boraginaceae,Ehretia
Magnoliopsidae,Gentianales,Apocynaceae,Alstonia
Magnoliopsidae,Malvales,Dipterocarpaceae,Vatica
Magnoliopsidae,Myrtales,Crypteroniaceae,Crypteronia
Magnoliopsidae,Lamiales,Oleaceae,Chionanthus
Magnoliopsidae,Laurales,Lauraceae,Cinnamomum
Magnoliopsidae,Malpighiales,Euphorbiaceae,Suregada
Magnoliopsidae,Sapindales,Meliaceae,Walsura
Magnoliopsidae,Ericales,Myrsinaceae,Myrsine
Magnoliopsidae,Laurales,Lauraceae,Phoebe
Magnoliopsidae,Lamiales,Labiatae,Vitex
Magnoliopsidae,Malpighiales,Ochnaceae,Ochna
Magnoliopsidae,Myrtales,Combretaceae,Terminalia
Magnoliopsidae,Sapindales,Anacardiaceae,Buchanania
Magnoliopsidae,Gentianales,Rubiaceae,Morinda
Magnoliopsidae,Gentianales,Rubiaceae,Mitragyna
Magnoliopsidae,Gentianales,Rubiaceae,Pavetta
Magnoliopsidae,Malpighiales,Euphorbiaceae,Bridelia
Magnoliopsidae,Malpighiales,Flacourtiaceae,Casearia
Magnoliopsidae,Sapindales,Sapindaceae,Lepisanthes
Magnoliopsidae,Sapindales,Anacardiaceae,Mangifera
Magnoliopsidae,Malpighiales,Putranjivaceae,Drypetes
Magnoliopsidae,Cucurbitales,Datiscaceae,Tetrameles
Magnoliopsidae,Malvales,Sterculiaceae,Pterospermum
Magnoliopsidae,Fabales,Leguminosae-Caes.,Peltophorum
Magnoliopsidae,Santalales,Opiliaceae,Champereia
Magnoliopsidae,Malpighiales,Euphorbiaceae,Mallotus
Magnoliopsidae,Malvales,Sterculiaceae,Sterculia
Magnoliopsidae,Sapindales,Rutaceae,Murraya
Magnoliopsidae,Malpighiales,Hypericaceae,Mammea
Magnoliopsidae,Lamiales,Bignoniaceae,Radermachera
Magnoliopsidae,Gentianales,Rubiaceae,Rothmannia
Magnoliopsidae,Sapindales,Anacardiaceae,Spondias
Magnoliopsidae,Icacinales,Icacinaceae,Gomphandra
Magnoliopsidae,Fabales,Leguminosae-Caes.,Afzelia
Magnoliopsidae,Gentianales,Rubiaceae,Psydrax
Magnoliopsidae,Laurales,Lauraceae,Dehaasia
Magnoliopsidae,Malvales,Tiliaceae,Microcos
Magnoliopsidae,Fabales,Leguminosae-Caes.,Dialium
Magnoliopsidae,Sapindales,Anacardiaceae,Rhus
Magnoliopsidae,Dipsacales,Caprifoliaceae,Viburnum
Magnoliopsidae,Apiales,Araliaceae,Heteropanax
Magnoliopsidae,Malpighiales,Euphorbiaceae,Phyllanthus
Magnoliopsidae,Malvales,Sterculiaceae,Firmiana
Magnoliopsidae,Cornales,Alangiaceae,Alangium
Magnoliopsidae,Ericales,Theaceae,Eurya
Magnoliopsidae,Malpighiales,Euphorbiaceae,Balakata
Magnoliopsidae,Proteales,Proteaceae,Helicia
Magnoliopsidae,Fagales,Fagaceae,Quercus
Magnoliopsidae,Malvales,Tiliaceae,Colona
Magnoliopsidae,Ericales,Styracaceae,Styrax
Magnoliopsidae,Ericales,Myrsinaceae,Maesa
Magnoliopsidae,Gentianales,Rubiaceae,Wendlandia
Magnoliopsidae,Sapindales,Meliaceae,Toona
Magnoliopsidae,Fabales,Leguminosae-Caes.,Cassia
Magnoliopsidae,Lamiales,Oleaceae,Olea
Magnoliopsidae,Fabales,Leguminosae-Mim.,Albizia
Magnoliopsidae,Ericales,Theaceae,Ternstroemia
Magnoliopsidae,Ericales,Sapotaceae,Sarcosperma
Magnoliopsidae,Malpighiales,Euphorbiaceae,Baccaurea
Magnoliopsidae,Fabales,Leguminosae-Caes.,Talbotiella
Magnoliopsidae,Fabales,Leguminosae-Caes.,Didelotia
Magnoliopsidae,Fabales,Leguminosae-Caes.,Plagiosiphon
Magnoliopsidae,Fabales,Leguminosae-Caes.,Gilletiodendron
Magnoliopsidae,Fabales,Leguminosae-Caes.,Crudia
Magnoliopsidae,Fabales,Leguminosae-Caes.,Pellegriniodendron
Magnoliopsidae,Lamiales,Thomandersiaceae,Thomandersia
Magnoliopsidae,Santalales,Olacaceae,Strombosia
Magnoliopsidae,Fabales,Leguminosae-Caes.,Bikinia
Magnoliopsidae,Fabales,Leguminosae-Caes.,Tetraberlinia
Magnoliopsidae,Magnoliales,Annonaceae,Cymbopetalum
Magnoliopsidae,Gentianales,Rubiaceae,Pseudosabicea
Magnoliopsidae,Gentianales,Rubiaceae,Craterispermum
Magnoliopsidae,Zingiberales,Marantaceae,Sarcophrynium
Magnoliopsidae,Zingiberales,Marantaceae,Thaumatococcus
Magnoliopsidae,Zingiberales,Marantaceae,Megaphrynium
Magnoliopsidae,Zingiberales,Marantaceae,Marantochloa
Magnoliopsidae,Caryophyllales,Caryophyllaceae,Polycarpon
Magnoliopsidae,Caryophyllales,Caryophyllaceae,Sagina
Magnoliopsidae,Malpighiales,Flacourtiaceae,Poggea
Magnoliopsidae,Fabales,Leguminosae-Caes.,Aphanocalyx
Magnoliopsidae,Ericales,Scytopetalaceae,Scytopetalum
Magnoliopsidae,Gentianales,Rubiaceae,Schumanniophyton
Magnoliopsidae,Fabales,Leguminosae-Caes.,Cynometra
Magnoliopsidae,Magnoliales,Annonaceae,Friesodielsia
Magnoliopsidae,Magnoliales,Annonaceae,Uvariastrum
Magnoliopsidae,Malpighiales,Malpighiaceae,Acridocarpus
Magnoliopsidae,Fabales,Leguminosae-Caes.,Berlinia
Magnoliopsidae,Magnoliales,Annonaceae,Uvaria
Magnoliopsidae,Magnoliales,Annonaceae,Anonidium
Magnoliopsidae,Magnoliales,Annonaceae,Monodora
Magnoliopsidae,Brassicales,Capparaceae,Capparis
Magnoliopsidae,Brassicales,Cruciferae,Brassica
Magnoliopsidae,Malpighiales,Violaceae,Hybanthus
Magnoliopsidae,Brassicales,Cruciferae,Teesdalia
Magnoliopsidae,Brassicales,Cruciferae,Bunias
Magnoliopsidae,Brassicales,Cruciferae,Berteroa
Magnoliopsidae,Fabales,Leguminosae-Pap.,Rhynchosia
Magnoliopsidae,Brassicales,Cruciferae,Armoracia
Magnoliopsidae,Gentianales,Rubiaceae,Chazaliella
Magnoliopsidae,Ericales,Balsaminaceae,Impatiens
Magnoliopsidae,Zingiberales,Zingiberaceae,Costus
Magnoliopsidae,Fabales,Leguminosae-Caes.,Tessmannia
Magnoliopsidae,Malpighiales,Euphorbiaceae,Aristogeitonia
Magnoliopsidae,Fabales,Leguminosae-Pap.,Pericopsis
Magnoliopsidae,Fabales,Leguminosae-Pap.,Leptoderris
Magnoliopsidae,Pandanales,Pandanaceae,Pandanus
Magnoliopsidae,Rosales,Ulmaceae,Celtis
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Ruthalicia
Magnoliopsidae,Cucurbitales,Begoniaceae,Begonia
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Coccinia
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Momordica
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Cucumeropsis
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Lagenaria
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Cucumis
Magnoliopsidae,Sapindales,Burseraceae,Dacryodes
Magnoliopsidae,Magnoliales,Annonaceae,Cleistopholis
Magnoliopsidae,Fabales,Leguminosae-Caes.,Copaifera
Magnoliopsidae,Malpighiales,Euphorbiaceae,Aubletiana
Magnoliopsidae,Solanales,Convolvulaceae,Neuropeltis
Magnoliopsidae,Magnoliales,Annonaceae,Artabotrys
Magnoliopsidae,Malpighiales,Euphorbiaceae,Mareya
Magnoliopsidae,Fabales,Leguminosae-Caes.,Loesenera
Magnoliopsidae,Fabales,Leguminosae-Caes.,Brachystegia
Magnoliopsidae,Santalales,Loranthaceae,Agelanthus
Magnoliopsidae,Fabales,Leguminosae-Caes.,Guibourtia
Magnoliopsidae,Malpighiales,Euphorbiaceae,Cleistanthus
Magnoliopsidae,Oxalidales,Huaceae,Afrostyrax
Magnoliopsidae,Fabales,Leguminosae-Caes.,Julbernardia
Magnoliopsidae,Caryophyllales,Caryophyllaceae,Herniaria
Magnoliopsidae,Lamiales,Scrophulariaceae,Linaria
Magnoliopsidae,Malpighiales,Euphorbiaceae,Chrozophora
Magnoliopsidae,Rosales,Moraceae,Maclura
Magnoliopsidae,Caryophyllales,Caryophyllaceae,Dianthus
Magnoliopsidae,Caryophyllales,Caryophyllaceae,Cerastium
Magnoliopsidae,Dipsacales,Dipsacaceae,Scabiosa
Magnoliopsidae,Ericales,Primulaceae,Primula
Magnoliopsidae,Fabales,Leguminosae-Pap.,Astragalus
Magnoliopsidae,Fabales,Leguminosae-Pap.,Oxytropis
Magnoliopsidae,Fabales,Leguminosae-Pap.,Onobrychis
Magnoliopsidae,Santalales,Santalaceae,Viscum
Magnoliopsidae,Caryophyllales,Caryophyllaceae,Petrorhagia
Magnoliopsidae,Malpighiales,Salicaceae,Salix
Magnoliopsidae,Caryophyllales,Caryophyllaceae,Minuartia
Magnoliopsidae,Alismatales,Potamogetonaceae,Potamogeton
Magnoliopsidae,Fabales,Leguminosae-Pap.,Medicago
Magnoliopsidae,Rosales,Rosaceae,Amelanchier
Magnoliopsidae,Rosales,Rosaceae,Potentilla
Magnoliopsidae,Fabales,Leguminosae-Pap.,Ononis
Magnoliopsidae,Lamiales,Scrophulariaceae,Melampyrum
Magnoliopsidae,Gentianales,Gentianaceae,Gentiana
Magnoliopsidae,Asterales,Compositae,Prenanthes
Magnoliopsidae,Caryophyllales,Caryophyllaceae,Gypsophila
Magnoliopsidae,Caryophyllales,Caryophyllaceae,Illecebrum
Magnoliopsidae,Caryophyllales,Caryophyllaceae,Scleranthus
Magnoliopsidae,Caryophyllales,Caryophyllaceae,Drymaria
Magnoliopsidae,Fabales,Leguminosae-Caes.,Caesalpinia
Magnoliopsidae,Lamiales,Scrophulariaceae,Scrophularia
Magnoliopsidae,Lamiales,Scrophulariaceae,Chaenorhinum
Magnoliopsidae,Fabales,Leguminosae-Pap.,Anthyllis
Magnoliopsidae,Fabales,Leguminosae-Pap.,Eriosema
Magnoliopsidae,Fabales,Leguminosae-Pap.,Cajanus
Magnoliopsidae,Fabales,Leguminosae-Pap.,Flemingia
Magnoliopsidae,Fabales,Leguminosae-Pap.,Dunbaria
Magnoliopsidae,Lamiales,Scrophulariaceae,Pedicularis
Magnoliopsidae,Asterales,Compositae,Carduus
Magnoliopsidae,Brassicales,Cruciferae,Cardamine
Magnoliopsidae,Liliales,Liliaceae,Gagea
Magnoliopsidae,Saxifragales,Saxifragaceae,Saxifraga
Magnoliopsidae,Brassicales,Cruciferae,Arabis
Magnoliopsidae,Lamiales,Scrophulariaceae,Veronica
Magnoliopsidae,Brassicales,Cruciferae,Thlaspi
Magnoliopsidae,Arecales,Palmae,Podococcus
Magnoliopsidae,Fabales,Leguminosae-Pap.,Trifolium
Magnoliopsidae,Gentianales,Gentianaceae,Swertia
Magnoliopsidae,Dipsacales,Dipsacaceae,Dipsacus
Magnoliopsidae,Icacinales,Icacinaceae,Pyrenacantha
Magnoliopsidae,Malpighiales,Dichapetalaceae,Dichapetalum
Magnoliopsidae,Santalales,Olacaceae,Diogoa
Magnoliopsidae,Metteniusales,Metteniusaceae,Rhaphiostylis
Magnoliopsidae,Fabales,Leguminosae-Caes.,Scorodophloeus
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Neoachmandra
Magnoliopsidae,Santalales,Loranthaceae,Phragmanthera
Magnoliopsidae,Malpighiales,Euphorbiaceae,Uapaca
Magnoliopsidae,Ranunculales,Menispermaceae,Triclisia
Magnoliopsidae,Magnoliales,Annonaceae,Greenwayodendron
Magnoliopsidae,Gentianales,Loganiaceae,Strychnos
Magnoliopsidae,Gentianales,Rubiaceae,Sabicea
Magnoliopsidae,Myrtales,Combretaceae,Combretum
Magnoliopsidae,Caryophyllales,Ancistrocladaceae,Ancistrocladus
Magnoliopsidae,Caryophyllales,Dioncophyllaceae,Dioncophyllum
Magnoliopsidae,Arecales,Palmae,Laccosperma
Magnoliopsidae,Magnoliales,Annonaceae,Annickia
Magnoliopsidae,Malpighiales,Ochnaceae,Campylospermum
Magnoliopsidae,Fabales,Leguminosae-Pap.,Leucomphalos
Magnoliopsidae,Fabales,Leguminosae-Caes.,Pachyelasma
Magnoliopsidae,Malpighiales,Chrysobalanaceae,Afrolicania
Magnoliopsidae,Malpighiales,Chrysobalanaceae,Parinari
Magnoliopsidae,Asterales,Compositae,Vernonia
Magnoliopsidae,Fabales,Leguminosae-Pap.,Dalhousiea
Magnoliopsidae,Oxalidales,Connaraceae,Agelaea
Magnoliopsidae,Malpighiales,Euphorbiaceae,Maesobotrya
Magnoliopsidae,Arecales,Palmae,Sclerosperma
Magnoliopsidae,Gentianales,Rubiaceae,Heinsia
Magnoliopsidae,Malpighiales,Violaceae,Viola
Magnoliopsidae,Arecales,Palmae,Phoenix
Magnoliopsidae,Santalales,Loranthaceae,Tapinanthus
Magnoliopsidae,Ericales,Sapotaceae,Lecomtedoxa
Magnoliopsidae,Magnoliales,Annonaceae,Uvariodendron
Magnoliopsidae,Fabales,Leguminosae-Caes.,Bauhinia
Magnoliopsidae,Gentianales,Rubiaceae,Ixora
Magnoliopsidae,Gentianales,Rubiaceae,Oxyanthus
Magnoliopsidae,Gentianales,Rubiaceae,Trichostachys
Magnoliopsidae,Gentianales,Rubiaceae,Atractogyne
Magnoliopsidae,Gentianales,Rubiaceae,Aoranthe
Magnoliopsidae,Gentianales,Rubiaceae,Hymenocoleus
Magnoliopsidae,Gentianales,Rubiaceae,Bertiera
Magnoliopsidae,Arecales,Palmae,Eremospatha
Magnoliopsidae,Gentianales,Rubiaceae,Mussaenda
Magnoliopsidae,Gentianales,Rubiaceae,Chassalia
Magnoliopsidae,Gentianales,Rubiaceae,Pausinystalia
Magnoliopsidae,Gentianales,Rubiaceae,Corynanthe
Magnoliopsidae,Gentianales,Rubiaceae,Tarenna
Magnoliopsidae,Gentianales,Rubiaceae,Geophila
Magnoliopsidae,Gentianales,Rubiaceae,Pauridiantha
Magnoliopsidae,Gentianales,Rubiaceae,Massularia
Magnoliopsidae,Gentianales,Rubiaceae,Dictyandra
Magnoliopsidae,Gentianales,Rubiaceae,Uncaria
Magnoliopsidae,Gentianales,Rubiaceae,Aidia
Magnoliopsidae,Gentianales,Rubiaceae,Belonophora
Magnoliopsidae,Lamiales,Labiatae,Clerodendrum
Magnoliopsidae,Malpighiales,Chrysobalanaceae,Magnistipula
Magnoliopsidae,Gentianales,Rubiaceae,Ecpoma
Magnoliopsidae,Fabales,Leguminosae-Mim.,Tetrapleura
Magnoliopsidae,Gentianales,Rubiaceae,Coffea
Magnoliopsidae,Gentianales,Rubiaceae,Aulacocalyx
Magnoliopsidae,Fabales,Leguminosae-Caes.,Daniellia
Magnoliopsidae,Gentianales,Rubiaceae,Sericanthe
Magnoliopsidae,Malpighiales,Flacourtiaceae,Phyllobotryon
Magnoliopsidae,Malpighiales,Flacourtiaceae,Homalium
Magnoliopsidae,Malpighiales,Flacourtiaceae,Trichostephanus
Magnoliopsidae,Gentianales,Rubiaceae,Sarcocephalus
Magnoliopsidae,Gentianales,Rubiaceae,Keetia
Magnoliopsidae,Fabales,Leguminosae-Caes.,Neochevalierodendron
Magnoliopsidae,Fabales,Leguminosae-Caes.,Eperua
Magnoliopsidae,Fabales,Leguminosae-Caes.,Eurypetalum
Magnoliopsidae,Fabales,Leguminosae-Caes.,Gabonius
Magnoliopsidae,Fabales,Leguminosae-Caes.,Normandiodendron
Magnoliopsidae,Zingiberales,Marantaceae,Hypselodelphys
Magnoliopsidae,Zingiberales,Marantaceae,Haumania
Magnoliopsidae,Fabales,Leguminosae-Caes.,Duparquetia
Magnoliopsidae,Fabales,Leguminosae-Caes.,Griffonia
Magnoliopsidae,Fabales,Leguminosae-Caes.,Augouardia
Magnoliopsidae,Fabales,Leguminosae-Caes.,Isomacrolobium
Magnoliopsidae,Fabales,Leguminosae-Caes.,Detarium
Magnoliopsidae,Fabales,Leguminosae-Caes.,Anthonotha
Magnoliopsidae,Ranunculales,Lardizabalaceae,Akebia
Magnoliopsidae,Fabales,Leguminosae-Caes.,Saraca
Magnoliopsidae,Fabales,Leguminosae-Caes.,Zenkerella
Magnoliopsidae,Fabales,Leguminosae-Pap.,Stylosanthes
Magnoliopsidae,Lamiales,Pedaliaceae,Ceratotheca
Magnoliopsidae,Magnoliales,Annonaceae,Annona
Magnoliopsidae,Rosales,Ulmaceae,Trema
Magnoliopsidae,Fabales,Leguminosae-Pap.,Sphenostylis
Magnoliopsidae,Lamiales,Pedaliaceae,Sesamum
Magnoliopsidae,Lamiales,Labiatae,Coleus
Magnoliopsidae,Brassicales,Cruciferae,Farsetia
Magnoliopsidae,Fabales,Leguminosae-Caes.,Chamaecrista
Magnoliopsidae,Caryophyllales,Portulacaceae,Montia
Magnoliopsidae,Alismatales,Potamogetonaceae,Groenlandia
Magnoliopsidae,Asterales,Compositae,Matricaria
Magnoliopsidae,Magnoliales,Annonaceae,Neostenanthera
Magnoliopsidae,Magnoliales,Annonaceae,Polyceratocarpus
Magnoliopsidae,Caryophyllales,Caryophyllaceae,Myosoton
Magnoliopsidae,Caryophyllales,Caryophyllaceae,Moehringia
Magnoliopsidae,Asparagales,Orchidaceae,Epipactis
Magnoliopsidae,Apiales,Umbelliferae,Angelica
Magnoliopsidae,Dipsacales,Valerianaceae,Valeriana
Magnoliopsidae,Apiales,Umbelliferae,Laserpitium
Magnoliopsidae,Geraniales,Geraniaceae,Geranium
Magnoliopsidae,Fabales,Leguminosae-Caes.,Cercis
Magnoliopsidae,Gentianales,Rubiaceae,Galium
Magnoliopsidae,Nymphaeales,Nymphaeaceae,Nuphar
Magnoliopsidae,Magnoliales,Annonaceae,Lettowianthus
Magnoliopsidae,Magnoliales,Annonaceae,Mkilua
Magnoliopsidae,Magnoliales,Annonaceae,Monanthotaxis
Magnoliopsidae,Magnoliales,Annonaceae,Ophrypetalum
Magnoliopsidae,Magnoliales,Annonaceae,Asteranthe
Magnoliopsidae,Magnoliales,Annonaceae,Sphaerocoryne
Magnoliopsidae,Magnoliales,Annonaceae,Isolona
Magnoliopsidae,Rosales,Rosaceae,Rosa
Magnoliopsidae,Rosales,Rosaceae,Sorbus
Magnoliopsidae,Fabales,Leguminosae-Pap.,Erythrina
Magnoliopsidae,Fabales,Polygalaceae,Securidaca
