class,order,family,genus
Basidiomycota,Russulales,Stereaceae,Chondrostereum
Basidiomycota,Polyporales,Fomitopsidaceae,Ceriomyces
Basidiomycota,Corticiales,Corticiaceae,Ceraceomyces
Basidiomycota,Corticiales,Corticiaceae,Ceraceomerulius
Ascomycota,Pleosporales,Venturiaceae,Coleroa
Magnoliopsidae,Asparagales,Orchidaceae,Bracisepalum
Basidiomycota,Agaricales,Clavariaceae,Pistillaria
Magnoliopsidae,Gentianales,Rubiaceae,Rhadinopus
Magnoliopsidae,Ericales,Myrsinaceae,Conandrium
Magnoliopsidae,Myrtales,Myrtaceae,Uromyrtus
Magnoliopsidae,Ericales,Ericaceae,Paphia
Phaeophyceae,Fucales,Sargassaceae,Sirophysalis
Phaeophyceae,Dictyotales,Dictyotaceae,Dictyopteris
Phaeophyceae,Ectocarpales,Chordariaceae,Cladosiphon
Rhodophyceae,Ceramiales,Rhodomelaceae,Ophidocladus
Rhodophyceae,Ceramiales,Sarcomeniaceae,Platysiphonia
Chlorophyceae,Cladophorales,Cladophoraceae,Chaetomorpha
Chlorophyceae,Ulvales,Ulvellaceae,Pseudodictyon
Phaeophyceae,Ectocarpales,Scytosiphonaceae,Rosenvingea
Magnoliopsidae,Poales,Ecdeiocoleaceae,Georgeantha
Rhodophyceae,Ceramiales,Rhodomelaceae,Rytiphlaea
Rhodophyceae,Corallinales,Corallinaceae,Fosliella
Ascomycota,Capnodiales,Mycosphaerellaceae,Cercospora
Basidiomycota,Boletales,Diplocystidiaceae,Astraeus
Ascomycota,Chaetothyriales,Chaetothyriaceae,Berlesiella
Ascomycota,Xylariales,Beltraniaceae,Beltrania
Ascomycota,Helotiales,Dermateaceae,Belonopsis
Ascomycota,Helotiales,Dermateaceae,Belonium
Ascomycota,Helotiales,Helotiaceae,Belonioscypha
Ascomycota,Helotiales,Dermateaceae,Beloniella
Ascomycota,Hypocreales,Clavicipitaceae,Blistum
Ascomycota,Pezizales,Helvellaceae,Balsamia
Basidiomycota,Hymenochaetales,Hymenochaetaceae,Asterostroma
Ascomycota,Pleosporales,Didymellaceae,Ascochyta
Basidiomycota,Agaricales,Strophariaceae,Hypholoma
Magnoliopsidae,Magnoliales,Annonaceae,Winitia
Magnoliopsidae,Poales,Gramineae,Kerriochloa
Magnoliopsidae,Fabales,Leguminosae-Pap.,Solori
Magnoliopsidae,Malpighiales,Passifloraceae,Hollrungia
Kickxellomycota,Kickxellales,Kickxellaceae,Coemansia
Ascomycota,Rhytismatales,Rhytismataceae,Coccophacidium
Ascomycota,Helotiales,Hyaloscyphaceae,Cistella
Ascomycota,Sordariales,Helminthosphaeriace,Chaetosphaerella
Basidiomycota,Cantharellales,Ceratobasidiaceae,Cejpomyces
Ascomycota,Helotiales,Hyphodiscaceae,Catenulifera
Ascomycota,Helotiales,Helotiaceae,Calycella
Magnoliopsidae,Alismatales,Araceae,Pseudodracontium
Magnoliopsidae,Sapindales,Rutaceae,Crossosperma
Magnoliopsidae,Sapindales,Rutaceae,Picrella
Ascomycota,Helotiales,Hyaloscyphaceae,Clavidisculum
Ascomycota,Pleosporales,Phaeosphaeriaceae,Cicinobolus
Ascomycota,Hypocreales,Hypocreaceae,Chromocrea
Ascomycota,Helotiales,Pezizellaceae,Chalara
Basidiomycota,Thelephorales,Thelephoraceae,Chaetosporella
Mucoromycota,Mucorales,Mucoraceae,Chaetocladium
Ascomycota,Diaporthales,Sydowiellaceae,Calosporella
Ascomycota,Diaporthales,Melanconidaceae,Calospora
Oomycota,Peronosporales,Oomycota-Peronosporaceae,Bremia
Ascomycota,Trichosphaeriales,Trichosphaeriaceae,Brachysporium
Basidiomycota,Agaricales,Agaricaceae,Bovistella
Ascomycota,Helotiales,Helotiaceae,Bryoscyphus
Ascomycota,Helotiales,Helotiaceae,Bulgariella
Rhodophyceae,Ceramiales,Rhodomelaceae,Laurenciella
Magnoliopsidae,Icacinales,Icacinaceae,Rhyticaryum
Ascomycota,Rhytismatales,Rhytismataceae,Colpoma
Magnoliopsidae,Zingiberales,Zingiberaceae,Elettariopsis
Basidiomycota,Agaricales,Tricholomataceae,Dendrocollybia
Magnoliopsidae,Metteniusales,Metteniusaceae,Pittosporopsis
Magnoliopsidae,Lamiales,Gesneriaceae,Petrocosmea
Magnoliopsidae,Lamiales,Gesneriaceae,Hexatheca
Magnoliopsidae,Gentianales,Gentianaceae,Duplipetala
Magnoliopsidae,Commelinales,Commelinaceae,Spatholirion
Magnoliopsidae,Dipsacales,Caprifoliaceae,Silvianthus
Magnoliopsidae,Brassicales,Capparaceae,Neothorelia
Magnoliopsidae,Asterales,Compositae,Sinosenecio
Magnoliopsidae,Asterales,Compositae,Glossocardia
Magnoliopsidae,Alismatales,Araceae,Holochlamys
Magnoliopsidae,Fabales,Leguminosae-Pap.,Endosamara
Magnoliopsidae,Lamiales,Gesneriaceae,Middletonia
Magnoliopsidae,Lamiales,Gesneriaceae,Senyumia
Magnoliopsidae,Gentianales,Rubiaceae,Myrioneuron
Magnoliopsidae,Lamiales,Acanthaceae,Psiloesthes
Magnoliopsidae,Fabales,Leguminosae-Pap.,Ototropis
Magnoliopsidae,Poales,Gramineae,Melocalamus
Magnoliopsidae,Lamiales,Acanthaceae,Strobilacanthus
Magnoliopsidae,Poales,Gramineae,Hemisorghum
Magnoliopsidae,Lamiales,Acanthaceae,Asystasiella
Magnoliopsidae,Piperales,Saururaceae,Gymnotheca
Magnoliopsidae,Lamiales,Gesneriaceae,Boeica
Magnoliopsidae,Myrtales,Melastomataceae,Pseudodissochaeta
Magnoliopsidae,Ericales,Sapotaceae,Sinosideroxylon
Magnoliopsidae,Gentianales,Apocynaceae,Parabarium
Magnoliopsidae,Myrtales,Melastomataceae,Driessenia
Magnoliopsidae,Malvales,Dipterocarpaceae,Sunaptea
Ascomycota,Helotiales,Arachnopezizaceae,Arachnoscypha
Basidiomycota,Agaricales,Marasmiaceae,Androsaceus
Basidiomycota,Agaricales,Strophariaceae,Anellaria
Ascomycota,Diaporthales,Gnomoniaceae,Amphicytostroma
Magnoliopsidae,Asterales,Compositae,Melanoseris
Magnoliopsidae,Asterales,Compositae,Synotis
Basidiomycota,Cantharellales,Botryobasidiaceae,Botryohypochnus
Ascomycota,Sordariales,Lasiosphaeriaceae,Bombardioidea
Basidiomycota,Boletales,Boletaceae,Xerocomus
Ascomycota,Hypocreales,Nectriaceae,Aponectria
Ascomycota,Hypocreales,Hypocreaceae,Apiocrea
Magnoliopsidae,Lamiales,Gesneriaceae,Anna
Magnoliopsidae,Fagales,Fagaceae,Limlia
Ascomycota,Helotiales,Hyaloscyphaceae,Albotricha
Ascomycota,Hypocreales,Clavicipitaceae,Alphitomyces
Magnoliopsidae,Malvales,Tiliaceae,Jarandersonia
Diatomae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus
Magnoliopsidae,Lamiales,Bignoniaceae,Couralia
Magnoliopsidae,Gentianales,Apocynaceae,Paralstonia
Magnoliopsidae,Malvales,Dipterocarpaceae,Balanocarpus
Rhodophyceae,Bangiales,Bangiaceae,Conchocelis
Rhodophyceae,Erythropeltales,Erythrotrichiaceae,Erythropeltis
Magnoliopsidae,Asparagales,Asparagaceae,Baxteria
Ascomycota,Hypocreales,Nectriaceae,Tubercularia
Ascomycota,Pezizales,Pyronemataceae,Otidea
Magnoliopsidae,Dioscoreales,Dioscoreaceae,Trichopus
Magnoliopsidae,Zingiberales,Lowiaceae,Orchidantha
Magnoliopsidae,Fabales,Leguminosae-Pap.,Paratephrosia
Magnoliopsidae,Lamiales,Acanthaceae,Zeylanicanthus
Magnoliopsidae,Malpighiales,Scyphostegiaceae,Scyphostegia
Magnoliopsidae,Sapindales,Anacardiaceae,Plectomirtha
Magnoliopsidae,Aquifoliales,Aquifoliaceae,Phelline
Magnoliopsidae,Fabales,Leguminosae-Caes.,Kalappia
Magnoliopsidae,Sapindales,Podoaceae,Campylopetalum
Magnoliopsidae,Gentianales,Rubiaceae,Haldina
Magnoliopsidae,Celastrales,Celastraceae,Xylonymus
Magnoliopsidae,Malpighiales,Euphorbiaceae,Sampantaea
Magnoliopsidae,Malpighiales,Euphorbiaceae,Octospermum
Magnoliopsidae,Sapindales,Burseraceae,Rosselia
Magnoliopsidae,Malvales,Malvaceae,Papuodendron
Magnoliopsidae,Asterales,Compositae,Ixiochlamys
Magnoliopsidae,Canellales,Winteraceae,Belliolum
Magnoliopsidae,Canellales,Winteraceae,Exospermum
Magnoliopsidae,Malvales,Bombacaceae,Kostermansia
Magnoliopsidae,Gentianales,Gentianaceae,Microrphium
Magnoliopsidae,Gentianales,Gentianaceae,Cotylanthera
Magnoliopsidae,Gentianales,Rubiaceae,Didymoecium
Magnoliopsidae,Sapindales,Anacardiaceae,Nothopegia
Magnoliopsidae,Sapindales,Anacardiaceae,Blepharocarya
Magnoliopsidae,Sapindales,Anacardiaceae,Androtium
Magnoliopsidae,Brassicales,Capparaceae,Crataeva
Magnoliopsidae,Solanales,Solanaceae,Paracha
Chlorophyceae,Trebouxiales,Botryococcaceae,Botryococcus
Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Pediastrum
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Indomelothria
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Urceodiscus
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Peponopsis
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Khmeriosicyos
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Gomphogyne
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Dicoelospermum
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Borneosicyos
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Bolbostemma
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Bayabusua
Magnoliopsidae,Sapindales,Sapindaceae,Heterodendrum
Magnoliopsidae,Sapindales,Sapindaceae,Scyphonychium
Magnoliopsidae,Sapindales,Sapindaceae,Tripterodendron
Magnoliopsidae,Sapindales,Sapindaceae,Guindilia
Magnoliopsidae,Sapindales,Sapindaceae,Stocksia
Magnoliopsidae,Sapindales,Sapindaceae,Delpya
Magnoliopsidae,Sapindales,Sapindaceae,Phyllotrichum
Magnoliopsidae,Sapindales,Sapindaceae,Pavieasia
Magnoliopsidae,Brassicales,Bretschneideraceae,Bretschneidera
Magnoliopsidae,Sapindales,Sapindaceae,Bizonula
Magnoliopsidae,Sapindales,Sapindaceae,Loxodiscus
Magnoliopsidae,Sapindales,Sapindaceae,Hornea
Magnoliopsidae,Sapindales,Sapindaceae,Gongrospermum
Magnoliopsidae,Sapindales,Sapindaceae,Melanodiscus
Magnoliopsidae,Sapindales,Sapindaceae,Distichostemon
Magnoliopsidae,Sapindales,Sapindaceae,Glossolepis
Magnoliopsidae,Sapindales,Sapindaceae,Arfeuillea
Magnoliopsidae,Gentianales,Apocynaceae,Lepinia
Magnoliopsidae,Gentianales,Apocynaceae,Vallariopsis
Magnoliopsidae,Gentianales,Apocynaceae,Tintinnabularia
Magnoliopsidae,Gentianales,Apocynaceae,Thyrsanthella
Magnoliopsidae,Gentianales,Apocynaceae,Thenardia
Magnoliopsidae,Gentianales,Apocynaceae,Spirolobium
Magnoliopsidae,Gentianales,Apocynaceae,Pinochia
Magnoliopsidae,Gentianales,Apocynaceae,Hylaea
Magnoliopsidae,Gentianales,Apocynaceae,Cerberiopsis
Magnoliopsidae,Gentianales,Apocynaceae,Urnularia
Magnoliopsidae,Gentianales,Apocynaceae,Eucorymbia
Magnoliopsidae,Gentianales,Apocynaceae,Phrissocarpus
Magnoliopsidae,Malpighiales,Guttiferae,Septogarcinia
Magnoliopsidae,Asterales,Compositae,Nestlera
Pteropsida,Polypodiales,Polypodiaceae,Polypodiopteris
Pteropsida,Polypodiales,Grammitidaceae,Chrysogrammitis
Pteropsida,Polypodiales,Grammitidaceae,Ctenopterella
Pteropsida,Polypodiales,Grammitidaceae,Dasygrammitis
Pteropsida,Polypodiales,Grammitidaceae,Tomophyllum
Magnoliopsidae,Brassicales,Cruciferae,Crucifera
Magnoliopsidae,Asparagales,Orchidaceae,Rhomboda
Magnoliopsidae,Asparagales,Orchidaceae,Pristiglottis
Magnoliopsidae,Sapindales,Rutaceae,Dutaillyea
Magnoliopsidae,Sapindales,Rutaceae,Dinosperma
Magnoliopsidae,Sapindales,Rutaceae,Coatesia
Magnoliopsidae,Sapindales,Rutaceae,Boninia
Magnoliopsidae,Alismatales,Araceae,Synantherea
Magnoliopsidae,Malpighiales,Violaceae,Agation
Magnoliopsidae,Magnoliales,Annonaceae,Schefferomitra
Magnoliopsidae,Malpighiales,Violaceae,Scyphellandra
Magnoliopsidae,Malpighiales,Violaceae,Conoria
Magnoliopsidae,Lamiales,Verbenaceae,Paravitex
Magnoliopsidae,Zingiberales,Zingiberaceae,Camptandra
Magnoliopsidae,Malvales,Tiliaceae,Honkenya
Magnoliopsidae,Poales,Gramineae,×Calammophila
Magnoliopsidae,Vitales,Vitaceae,Nothocissus
Magnoliopsidae,Vitales,Vitaceae,Clematicissus
Magnoliopsidae,Laurales,Monimiaceae,Faika
Magnoliopsidae,Laurales,Monimiaceae,Anthobembix
Magnoliopsidae,Laurales,Monimiaceae,Kibaropsis
Pinopsida,Cupressales,Araucariaceae,Wollemia
Magnoliopsidae,Asterales,Compositae,Lavenia
Rhodophyceae,Ceramiales,Rhodomelaceae,Trigenea
Magnoliopsidae,Zygophyllales,Zygophyllaceae,Metharme
Magnoliopsidae,Lamiales,Verbenaceae,Garrettia
Chlorophyceae,Trebouxiales,Trebouxiaceae,Trebouxia
Magnoliopsidae,Apiales,Umbelliferae,Murrithia
Magnoliopsidae,Apiales,Umbelliferae,Nothosmyrnium
Magnoliopsidae,Apiales,Umbelliferae,Plurivitta
Magnoliopsidae,Santalales,Santalaceae,Phacellaria
Magnoliopsidae,Santalales,Santalaceae,Nanodea
Magnoliopsidae,Ericales,Sapotaceae,Magodendron
Magnoliopsidae,Apiales,Umbelliferae,Physospermopsis
Magnoliopsidae,Apiales,Umbelliferae,Butinia
Magnoliopsidae,Rosales,Urticaceae,Astrothalamus
Magnoliopsidae,Apiales,Umbelliferae,Molospermum
Magnoliopsidae,Rosales,Urticaceae,Pseudopipturus
Magnoliopsidae,Lamiales,Verbenaceae,Pityrodia
Magnoliopsidae,Ericales,Theaceae,Sladenia
Magnoliopsidae,Malvales,Thymelaeaceae,Deltaria
Magnoliopsidae,Malvales,Thymelaeaceae,Amyxa
Magnoliopsidae,Malvales,Thymelaeaceae,Kelleria
Magnoliopsidae,Malpighiales,Euphorbiaceae,Diplomorpha
Magnoliopsidae,Lamiales,Verbenaceae,Hosea
Magnoliopsidae,Gentianales,Rubiaceae,Dioecrescis
Magnoliopsidae,Myrtales,Myrtaceae,Stenostomum
Magnoliopsidae,Malvales,Tiliaceae,Honckenya
Magnoliopsidae,Trochodendrales,Tetracentraceae,Tetracentron
Magnoliopsidae,Asparagales,Orchidaceae,Camelostalix
Magnoliopsidae,Gentianales,Rubiaceae,Tinadendron
Magnoliopsidae,Gentianales,Rubiaceae,Rhopalobrachium
Magnoliopsidae,Gentianales,Rubiaceae,Keenania
Magnoliopsidae,Malvales,Thymelaeaceae,Rhamnoneuron
Magnoliopsidae,Gentianales,Rubiaceae,Xantonnea
Magnoliopsidae,Malpighiales,Rafflesiaceae,Rafflesia
Magnoliopsidae,Malpighiales,Rafflesiaceae,Bdallophytum
Magnoliopsidae,Proteales,Proteaceae,Catalepidia
Magnoliopsidae,Proteales,Proteaceae,Neorites
Magnoliopsidae,Proteales,Proteaceae,Sphalmium
Magnoliopsidae,Proteales,Proteaceae,Beauprea
Magnoliopsidae,Poales,Restionaceae,Desmocladus
Magnoliopsidae,Celastrales,Celastraceae,Asterocarpus
Magnoliopsidae,Poales,Restionaceae,Phyllocomos
Magnoliopsidae,Ranunculales,Ranunculaceae,Beesia
Magnoliopsidae,Poales,Ecdeiocoleaceae,Ecdeiocolea
Magnoliopsidae,Poales,Restionaceae,Tyrbastes
Magnoliopsidae,Poales,Restionaceae,Chordifex
Magnoliopsidae,Poales,Restionaceae,Dapsilanthus
Magnoliopsidae,Malvales,Thymelaeaceae,Diplomorpha
Magnoliopsidae,Malvales,Thymelaeaceae,Thecanthes
Magnoliopsidae,Malvales,Thymelaeaceae,Aetoxylon
Pinopsida,Cupressales,Taxaceae,Amentotaxus
Magnoliopsidae,Ericales,Styracaceae,Alniphyllum
Magnoliopsidae,Ericales,Styracaceae,Huodendron
Magnoliopsidae,Malvales,Sterculiaceae,Acropogon
Magnoliopsidae,Poales,Restionaceae,Calorophus
Magnoliopsidae,Poales,Restionaceae,Saropsis
Magnoliopsidae,Rosales,Rhamnaceae,Berchemiella
Magnoliopsidae,Poales,Gramineae,×Aegilotriticum
