Options:
Model:                           MultiState
Tree File Name:                  data/zun_nat_species_11-07-25.tre
Data File Name:                  data/zun_nat_species_11-07-25.txt
Log File Name:                   data/zun_nat_species_11-07-25.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            18507918
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/zun_nat_species_11-07-25.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2842
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
58000	-1155.923452	1	0.000463	0.000105	0.000193	0.017228	0.067466	0.009374	0.014603	0.070357	0.001479	0.015554	0.002382	0.000889	0.002598	0.470703	0.523341	0.003357	
59000	-1150.818377	1	0.000657	0.000085	0.000260	0.027380	0.030806	0.002259	0.000143	0.039524	0.007488	0.012694	0.002248	0.000349	0.008760	0.894344	0.093092	0.003803	
60000	-1155.655380	1	0.000125	0.000280	0.000473	0.029978	0.013043	0.000182	0.003468	0.021267	0.006585	0.016201	0.001247	0.000072	0.002475	0.329988	0.666669	0.000867	
61000	-1150.422799	1	0.000797	0.000041	0.000218	0.025530	0.017578	0.004454	0.001031	0.021926	0.006956	0.017118	0.000276	0.000629	0.009020	0.942653	0.047429	0.000897	
62000	-1161.805309	1	0.000445	0.000585	0.000261	0.026695	0.064466	0.005160	0.002238	0.064170	0.006073	0.015396	0.004009	0.000074	0.020477	0.769188	0.189135	0.021200	
63000	-1160.454095	1	0.000495	0.000383	0.000515	0.000831	0.046175	0.001534	0.037575	0.039243	0.005205	0.014371	0.002454	0.000018	0.004505	0.229659	0.764501	0.001335	
64000	-1155.222328	1	0.000692	0.000046	0.000327	0.011256	0.094743	0.001700	0.020527	0.098999	0.010635	0.018041	0.001111	0.000015	0.004992	0.504857	0.488715	0.001436	
65000	-1155.016916	1	0.000481	0.000291	0.000223	0.002249	0.081291	0.001987	0.030187	0.094648	0.006639	0.016634	0.000932	0.000004	0.008409	0.333006	0.657648	0.000938	
66000	-1156.361337	1	0.000833	0.000081	0.000413	0.021870	0.087173	0.006367	0.002339	0.092673	0.008401	0.017121	0.002458	0.000002	0.032685	0.698626	0.262035	0.006654	
67000	-1147.064312	1	0.000527	0.000126	0.000268	0.022261	0.015374	0.000685	0.000197	0.018116	0.013127	0.018232	0.000790	0.000013	0.007060	0.956796	0.034072	0.002072	
68000	-1159.048778	1	0.000597	0.000292	0.000431	0.012976	0.024127	0.001931	0.008006	0.009951	0.008951	0.014154	0.002413	0.000049	0.303589	0.554860	0.121881	0.019670	
69000	-1155.244586	1	0.000464	0.000243	0.000229	0.030167	0.010703	0.001127	0.002685	0.023623	0.003746	0.015203	0.000849	0.000054	0.004467	0.280268	0.714716	0.000550	
70000	-1150.623568	1	0.000687	0.000173	0.000373	0.022449	0.016450	0.000212	0.000439	0.016170	0.014679	0.014142	0.002233	0.000844	0.019017	0.953599	0.022364	0.005020	
71000	-1158.955854	1	0.000639	0.000274	0.000116	0.020370	0.054540	0.008033	0.000340	0.069432	0.001416	0.013449	0.001901	0.001034	0.096173	0.766628	0.113506	0.023693	
72000	-1155.571382	1	0.000350	0.000371	0.000337	0.025014	0.031495	0.006697	0.001075	0.047240	0.000494	0.013484	0.001928	0.001367	0.008769	0.882419	0.102437	0.006375	
73000	-1151.954479	1	0.000784	0.000068	0.000309	0.023114	0.026576	0.000203	0.000159	0.018908	0.007504	0.014065	0.001282	0.000725	0.067596	0.903742	0.022435	0.006228	
74000	-1158.304579	1	0.000650	0.000144	0.000200	0.013957	0.061610	0.001069	0.000335	0.070961	0.019461	0.015037	0.000578	0.001111	0.407410	0.501471	0.080869	0.010251	
75000	-1148.963906	1	0.000770	0.000103	0.000421	0.026813	0.016812	0.002073	0.000028	0.020266	0.007264	0.015700	0.000994	0.001038	0.009747	0.957778	0.030182	0.002294	
76000	-1155.132322	1	0.000757	0.000078	0.000292	0.030311	0.071243	0.001420	0.003069	0.074783	0.009080	0.015923	0.003023	0.000078	0.004654	0.615104	0.376211	0.004031	
77000	-1151.401056	1	0.000762	0.000037	0.000266	0.017558	0.035361	0.002359	0.010660	0.031137	0.006458	0.014474	0.000696	0.000869	0.014061	0.659688	0.324381	0.001870	
78000	-1153.195199	1	0.000502	0.000013	0.000377	0.033143	0.035115	0.000502	0.002088	0.049445	0.005760	0.015333	0.001364	0.000472	0.000622	0.364415	0.633553	0.001410	
79000	-1148.066434	1	0.000757	0.000160	0.000330	0.021499	0.027811	0.000067	0.000276	0.026907	0.014062	0.016852	0.000776	0.000387	0.035270	0.916789	0.044964	0.002977	
80000	-1152.685007	1	0.000501	0.000095	0.000342	0.025721	0.017744	0.000606	0.000619	0.017928	0.007741	0.020163	0.001018	0.000211	0.004982	0.950749	0.041451	0.002818	
81000	-1151.533495	1	0.000736	0.000037	0.000138	0.019108	0.028881	0.001123	0.001039	0.028145	0.011133	0.017661	0.000697	0.000165	0.040614	0.903662	0.052382	0.003342	
82000	-1150.417664	1	0.000605	0.000257	0.000216	0.020125	0.014545	0.000947	0.003749	0.013274	0.009969	0.015742	0.002239	0.000151	0.020032	0.939001	0.035289	0.005678	
83000	-1147.266844	1	0.000768	0.000162	0.000300	0.025454	0.013651	0.001310	0.001060	0.012303	0.011074	0.015968	0.000791	0.000339	0.011101	0.970195	0.016827	0.001877	
84000	-1157.664707	1	0.000322	0.000393	0.000379	0.031841	0.039751	0.002092	0.002005	0.040365	0.004561	0.014015	0.001773	0.000907	0.005118	0.797192	0.194589	0.003101	
85000	-1156.077256	1	0.000379	0.000082	0.000257	0.026491	0.043408	0.003478	0.002834	0.057226	0.003003	0.016483	0.000934	0.001993	0.001765	0.563850	0.430980	0.003405	
86000	-1148.690396	1	0.000422	0.000067	0.000387	0.026821	0.015240	0.000781	0.003072	0.016881	0.007285	0.015622	0.001649	0.000669	0.002506	0.901113	0.093256	0.003125	
87000	-1152.567092	1	0.000695	0.000041	0.000236	0.016144	0.055586	0.000118	0.010040	0.057747	0.012689	0.017759	0.001204	0.000098	0.011686	0.619288	0.366576	0.002450	
88000	-1146.832689	1	0.000415	0.000164	0.000281	0.028208	0.010518	0.000057	0.003027	0.016245	0.007785	0.015540	0.000958	0.000722	0.003634	0.741472	0.253041	0.001852	
89000	-1157.065047	1	0.000718	0.000121	0.000169	0.002171	0.076791	0.000000	0.024711	0.070705	0.016461	0.013978	0.000351	0.000448	0.034937	0.216547	0.746950	0.001566	
90000	-1154.971483	1	0.000706	0.000184	0.000317	0.004195	0.091104	0.000003	0.030887	0.085567	0.009799	0.014434	0.000903	0.001731	0.006769	0.410381	0.580056	0.002794	
91000	-1153.582855	1	0.000703	0.000055	0.000366	0.024094	0.035103	0.000094	0.002763	0.054556	0.007324	0.015284	0.000407	0.000493	0.005494	0.709647	0.283891	0.000968	
92000	-1150.282853	1	0.000813	0.000027	0.000301	0.026090	0.030554	0.000710	0.004859	0.027283	0.008985	0.014322	0.001079	0.001202	0.009405	0.878448	0.109860	0.002287	
93000	-1156.766206	1	0.000733	0.000136	0.000399	0.029202	0.017138	0.001422	0.000591	0.017897	0.009710	0.010846	0.003464	0.001266	0.009887	0.961120	0.023526	0.005467	
94000	-1155.961000	1	0.000528	0.000331	0.000240	0.018627	0.067877	0.009717	0.000885	0.094476	0.006365	0.015730	0.001165	0.000028	0.067827	0.727095	0.200805	0.004273	
95000	-1153.300747	1	0.000875	0.000021	0.000272	0.013695	0.054691	0.006209	0.007118	0.057097	0.006306	0.013805	0.001776	0.000107	0.186719	0.584594	0.221786	0.006901	
96000	-1160.730778	1	0.000395	0.000224	0.000358	0.018902	0.088161	0.000669	0.012735	0.055278	0.007831	0.016299	0.002725	0.000101	0.003826	0.543202	0.449469	0.003503	
97000	-1156.808018	1	0.000810	0.000123	0.000371	0.020275	0.063728	0.000793	0.008168	0.067947	0.008156	0.013809	0.003717	0.000430	0.020399	0.595758	0.352996	0.030847	
98000	-1149.634630	1	0.000674	0.000109	0.000338	0.021213	0.027545	0.000708	0.006944	0.022763	0.010376	0.016671	0.001179	0.000287	0.010494	0.853654	0.133162	0.002691	
99000	-1150.108282	1	0.000699	0.000044	0.000390	0.014982	0.024147	0.000166	0.009447	0.019087	0.009984	0.015745	0.001068	0.000644	0.026061	0.703046	0.267669	0.003224	
100000	-1151.930263	1	0.000433	0.000013	0.000499	0.030948	0.020429	0.000225	0.000928	0.023993	0.007152	0.014295	0.002344	0.000216	0.001675	0.851307	0.143337	0.003682	
101000	-1153.201734	1	0.000198	0.000152	0.000179	0.026661	0.009996	0.000129	0.000054	0.019085	0.008809	0.016660	0.001613	0.001430	0.003234	0.702597	0.289723	0.004445	
102000	-1154.461877	1	0.000300	0.000247	0.000325	0.029927	0.027654	0.003759	0.002920	0.048692	0.003902	0.014707	0.002242	0.000635	0.001860	0.359748	0.636213	0.002180	
103000	-1149.317552	1	0.000627	0.000081	0.000380	0.031464	0.012514	0.002171	0.000703	0.021090	0.006557	0.013038	0.000915	0.000383	0.003428	0.861072	0.134133	0.001367	
104000	-1155.718268	1	0.000883	0.000045	0.000343	0.028769	0.064830	0.001312	0.004500	0.071983	0.009342	0.014798	0.001213	0.002007	0.006234	0.636942	0.353605	0.003220	
105000	-1154.031532	1	0.000890	0.000019	0.000299	0.019271	0.059101	0.004038	0.011208	0.049622	0.004896	0.014001	0.000642	0.001252	0.013642	0.607623	0.376758	0.001977	
106000	-1152.481588	1	0.000431	0.000074	0.000327	0.027256	0.006956	0.002268	0.002686	0.011669	0.006341	0.014960	0.000199	0.001138	0.002413	0.930373	0.066556	0.000658	
107000	-1152.087787	1	0.000625	0.000162	0.000273	0.016147	0.021470	0.000306	0.006497	0.014217	0.011817	0.014700	0.001523	0.001502	0.052468	0.860153	0.079708	0.007671	
108000	-1150.409741	1	0.000420	0.000215	0.000146	0.022566	0.014824	0.001525	0.000952	0.022061	0.012753	0.016915	0.001176	0.000455	0.005864	0.921772	0.069710	0.002653	
109000	-1152.849613	1	0.000650	0.000085	0.000317	0.022599	0.055757	0.004926	0.004384	0.063905	0.004378	0.016684	0.000342	0.000459	0.009559	0.710042	0.279280	0.001119	
110000	-1150.881567	1	0.000559	0.000209	0.000283	0.018936	0.038196	0.000201	0.004705	0.038895	0.012740	0.013812	0.001267	0.000313	0.029320	0.859329	0.108224	0.003127	
111000	-1161.319623	1	0.000371	0.000256	0.000426	0.014465	0.037528	0.000017	0.014172	0.054542	0.016029	0.019923	0.001099	0.000910	0.003590	0.593272	0.400284	0.002854	
112000	-1149.247976	1	0.000661	0.000108	0.000220	0.024035	0.017136	0.000350	0.003706	0.013553	0.014473	0.017166	0.001230	0.000449	0.007078	0.955947	0.034171	0.002804	
