Options:
Model:                           MultiState
Tree File Name:                  data/zun_genus_phylo_nat_26-09-24_class.tre
Data File Name:                  data/zun_genus_phylo_nat_26-09-24_class.txt
Log File Name:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3373951118
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2162
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
44000	-806.336017	1	0.000501	0.000026	0.000583	0.005971	0.027066	0.006595	0.019891	0.052389	0.020271	0.029818	0.000305	0.000470	0.004370	0.324168	0.668743	0.002719	
45000	-801.507047	1	0.000180	0.000443	0.000243	0.001057	0.057123	0.002486	0.021496	0.092777	0.018048	0.023306	0.000739	0.000411	0.054344	0.122274	0.810182	0.013199	
46000	-805.326301	1	0.000478	0.000020	0.000334	0.001559	0.034931	0.001521	0.022800	0.023531	0.018262	0.023027	0.002210	0.000830	0.006131	0.110787	0.865029	0.018053	
47000	-804.988352	1	0.000639	0.000027	0.000739	0.003720	0.049319	0.004797	0.012290	0.071684	0.015166	0.026909	0.000435	0.000062	0.098821	0.158866	0.729738	0.012575	
48000	-805.677826	1	0.000180	0.000216	0.000457	0.007607	0.043923	0.005273	0.004971	0.088623	0.014986	0.030017	0.001510	0.000891	0.016281	0.302517	0.534878	0.146325	
49000	-802.340133	1	0.000353	0.000098	0.000476	0.003757	0.051241	0.016756	0.007901	0.094440	0.001043	0.030707	0.000806	0.000024	0.023564	0.615269	0.338084	0.023083	
50000	-800.239267	1	0.000348	0.000189	0.000340	0.008079	0.019962	0.008553	0.010307	0.031751	0.005919	0.028203	0.000546	0.000046	0.015570	0.514915	0.462777	0.006739	
51000	-802.267287	1	0.000211	0.000140	0.000263	0.011531	0.012990	0.007731	0.000918	0.037037	0.007475	0.025263	0.001049	0.000169	0.007829	0.833630	0.145188	0.013354	
52000	-801.615659	1	0.000313	0.000350	0.000446	0.004416	0.040978	0.003923	0.009689	0.046840	0.019808	0.027955	0.000305	0.000019	0.048618	0.167246	0.778294	0.005842	
53000	-802.928679	1	0.000394	0.000096	0.000089	0.014566	0.023996	0.013837	0.003471	0.051280	0.000233	0.026310	0.000228	0.000270	0.003593	0.784498	0.210481	0.001428	
54000	-804.534949	1	0.000333	0.000080	0.000530	0.007096	0.054781	0.011419	0.011048	0.069140	0.008348	0.030774	0.000268	0.000732	0.003220	0.481821	0.510472	0.004487	
55000	-802.630931	1	0.000270	0.000125	0.000414	0.005461	0.015636	0.003446	0.013181	0.019448	0.019685	0.032141	0.001112	0.000253	0.002391	0.102999	0.885040	0.009570	
56000	-801.519320	1	0.000247	0.000116	0.000427	0.009729	0.019396	0.005095	0.004753	0.021447	0.015140	0.027245	0.002027	0.000192	0.007197	0.332905	0.621690	0.038209	
57000	-802.987045	1	0.000356	0.000027	0.000451	0.010136	0.037240	0.004113	0.013180	0.067523	0.013376	0.030133	0.000145	0.000216	0.001459	0.398680	0.598970	0.000891	
58000	-801.964513	1	0.000357	0.000054	0.000368	0.007383	0.016881	0.003316	0.007730	0.010921	0.022591	0.024975	0.001544	0.000150	0.019474	0.424387	0.517477	0.038662	
59000	-800.209043	1	0.000229	0.000463	0.000332	0.003767	0.039975	0.001120	0.016916	0.049199	0.021181	0.024705	0.000577	0.000008	0.033836	0.112601	0.850121	0.003442	
60000	-804.112003	1	0.000446	0.000134	0.000204	0.005132	0.017048	0.000154	0.012083	0.014095	0.036661	0.026235	0.000518	0.001509	0.024474	0.126749	0.829876	0.018900	
61000	-800.682214	1	0.000414	0.000003	0.000420	0.002506	0.045745	0.004345	0.021077	0.063891	0.008460	0.023668	0.000199	0.000615	0.006691	0.134421	0.854311	0.004577	
62000	-803.594466	1	0.000406	0.000041	0.000376	0.004856	0.036953	0.005231	0.012071	0.038475	0.012387	0.030940	0.001199	0.000402	0.005597	0.211784	0.761094	0.021525	
63000	-801.129893	1	0.000412	0.000013	0.000501	0.001572	0.044755	0.004311	0.014046	0.051010	0.015671	0.026614	0.000572	0.000952	0.012346	0.109854	0.851449	0.026351	
64000	-805.219854	1	0.000311	0.000374	0.000239	0.009478	0.057982	0.003499	0.014034	0.089531	0.012805	0.027454	0.000269	0.000857	0.010763	0.363170	0.618369	0.007698	
65000	-806.989224	1	0.000059	0.000242	0.000474	0.008889	0.043567	0.001303	0.007649	0.095053	0.027094	0.023722	0.002010	0.000936	0.007091	0.271469	0.678907	0.042532	
66000	-801.017020	1	0.000162	0.000552	0.000174	0.001535	0.033433	0.004838	0.015855	0.051008	0.020881	0.026724	0.000068	0.000405	0.042908	0.080558	0.868063	0.008471	
67000	-802.960304	1	0.000466	0.000087	0.000302	0.000461	0.040413	0.005772	0.021576	0.045622	0.019570	0.022568	0.000059	0.000986	0.017238	0.099745	0.877326	0.005691	
68000	-803.851029	1	0.000210	0.000043	0.000307	0.005103	0.053872	0.005199	0.026302	0.093946	0.012555	0.023560	0.000123	0.000691	0.000705	0.414369	0.583552	0.001375	
69000	-801.715634	1	0.000233	0.000303	0.000308	0.000656	0.044265	0.003597	0.024741	0.068410	0.027266	0.024255	0.000055	0.001547	0.010910	0.129774	0.849801	0.009516	
70000	-803.025705	1	0.000129	0.000395	0.000422	0.002192	0.062007	0.000598	0.025822	0.085253	0.014666	0.024256	0.000028	0.002097	0.009711	0.179789	0.795308	0.015192	
71000	-801.716413	1	0.000294	0.000241	0.000214	0.004163	0.043844	0.003431	0.019158	0.055682	0.019422	0.025860	0.000758	0.000836	0.005685	0.218643	0.768348	0.007324	
72000	-804.774269	1	0.000078	0.000497	0.000251	0.002627	0.027196	0.001210	0.030038	0.061212	0.023682	0.027257	0.000436	0.000517	0.009046	0.058102	0.927835	0.005017	
73000	-801.725701	1	0.000185	0.000406	0.000301	0.004567	0.037574	0.002151	0.025139	0.077700	0.021608	0.024374	0.000129	0.000615	0.011714	0.153401	0.831129	0.003755	
74000	-798.880038	1	0.000240	0.000182	0.000389	0.005262	0.022597	0.004375	0.010217	0.027565	0.018903	0.028927	0.000114	0.000203	0.006332	0.154266	0.837417	0.001985	
75000	-803.307576	1	0.000198	0.000144	0.000322	0.013011	0.030635	0.003131	0.000529	0.045324	0.021470	0.026286	0.000519	0.001190	0.004254	0.495335	0.486908	0.013503	
76000	-803.611308	1	0.000284	0.000370	0.000493	0.011992	0.011003	0.002188	0.000288	0.014413	0.023132	0.030506	0.000819	0.000313	0.030534	0.282188	0.666295	0.020984	
77000	-804.198443	1	0.000281	0.000109	0.000536	0.012109	0.031472	0.007174	0.004325	0.047054	0.006459	0.022934	0.000630	0.000908	0.023297	0.764875	0.197977	0.013851	
78000	-804.137063	1	0.000352	0.000091	0.000415	0.009552	0.045376	0.002025	0.012699	0.055510	0.011439	0.026665	0.000858	0.000981	0.004293	0.280732	0.702134	0.012842	
79000	-803.927372	1	0.000396	0.000276	0.000204	0.001686	0.092307	0.003436	0.010290	0.098553	0.017843	0.029881	0.000143	0.000235	0.051770	0.239291	0.693931	0.015009	
80000	-808.006682	1	0.000246	0.000102	0.000267	0.015973	0.077439	0.005478	0.009178	0.082055	0.006370	0.025094	0.000712	0.000396	0.001286	0.522270	0.474170	0.002274	
81000	-804.115689	1	0.000039	0.000300	0.000302	0.004456	0.025031	0.003144	0.021219	0.037486	0.010483	0.022186	0.000674	0.000302	0.003221	0.079414	0.915650	0.001715	
82000	-800.982280	1	0.000305	0.000252	0.000304	0.003939	0.025365	0.012766	0.013481	0.056342	0.006774	0.028679	0.000346	0.000270	0.019126	0.365979	0.607144	0.007752	
83000	-801.205175	1	0.000148	0.000265	0.000393	0.002276	0.057207	0.001787	0.013189	0.070875	0.020457	0.027167	0.001259	0.000417	0.014392	0.143535	0.811821	0.030252	
84000	-805.537307	1	0.000164	0.000019	0.000365	0.008344	0.036116	0.003267	0.015745	0.048813	0.020867	0.025777	0.001487	0.000983	0.000417	0.437487	0.556404	0.005692	
85000	-800.120760	1	0.000077	0.000487	0.000207	0.000653	0.038668	0.000610	0.018975	0.043742	0.022245	0.028254	0.000026	0.000822	0.009992	0.076920	0.906182	0.006907	
86000	-802.821992	1	0.000551	0.000053	0.000321	0.010956	0.009129	0.006623	0.009553	0.016930	0.006956	0.022513	0.000178	0.000810	0.020938	0.456578	0.516842	0.005643	
87000	-803.656675	1	0.000266	0.000130	0.000443	0.005281	0.032842	0.006721	0.011584	0.059147	0.016857	0.022873	0.000300	0.000446	0.023584	0.221391	0.749468	0.005557	
88000	-805.354555	1	0.000357	0.000100	0.000230	0.001821	0.037204	0.020581	0.011612	0.075404	0.005030	0.029967	0.000945	0.000633	0.006514	0.501998	0.477018	0.014469	
89000	-803.019643	1	0.000379	0.000089	0.000372	0.003439	0.052211	0.005105	0.015003	0.074819	0.027411	0.029729	0.000182	0.001532	0.004103	0.303170	0.683384	0.009343	
90000	-801.017981	1	0.000531	0.000070	0.000334	0.004857	0.040403	0.001970	0.006233	0.053392	0.031658	0.030243	0.000195	0.000609	0.016083	0.165813	0.806520	0.011585	
91000	-805.443267	1	0.000337	0.000270	0.000144	0.002061	0.053188	0.000596	0.015056	0.093399	0.041952	0.031078	0.001222	0.001163	0.008461	0.166092	0.795174	0.030274	
92000	-801.637682	1	0.000511	0.000066	0.000496	0.003732	0.042998	0.004837	0.019121	0.049307	0.009533	0.027458	0.000094	0.000349	0.009719	0.181470	0.805744	0.003067	
93000	-800.340718	1	0.000274	0.000252	0.000293	0.004332	0.026310	0.004060	0.010930	0.028052	0.016555	0.030570	0.000065	0.000476	0.010272	0.117313	0.866349	0.006066	
94000	-801.819983	1	0.000418	0.000133	0.000548	0.005741	0.038573	0.002733	0.012261	0.048993	0.018506	0.031883	0.000461	0.000078	0.007909	0.187145	0.801223	0.003723	
95000	-800.789671	1	0.000215	0.000267	0.000174	0.000559	0.064030	0.004809	0.016546	0.091190	0.016144	0.027939	0.000114	0.000707	0.015856	0.193853	0.776038	0.014253	
96000	-799.841625	1	0.000202	0.000332	0.000161	0.002161	0.036762	0.000896	0.014963	0.047644	0.027619	0.026492	0.000065	0.001119	0.012431	0.081315	0.894157	0.012097	
97000	-801.554958	1	0.000098	0.000244	0.000475	0.000428	0.061555	0.005731	0.019785	0.083967	0.015320	0.029420	0.000420	0.000220	0.002997	0.252595	0.741919	0.002489	
98000	-805.021034	1	0.000179	0.000396	0.000568	0.000166	0.037752	0.001177	0.041588	0.071020	0.023893	0.023666	0.000181	0.002772	0.007660	0.087202	0.890720	0.014418	
99000	-799.297419	1	0.000309	0.000019	0.000327	0.001058	0.052107	0.000712	0.022007	0.067671	0.025988	0.025339	0.000604	0.000050	0.002063	0.173953	0.822706	0.001279	
100000	-806.264584	1	0.000106	0.000190	0.000405	0.008651	0.057945	0.013657	0.008104	0.083698	0.002176	0.022736	0.000551	0.000828	0.006699	0.591426	0.393589	0.008286	
101000	-801.433574	1	0.000272	0.000222	0.000213	0.003618	0.016798	0.006236	0.019338	0.027367	0.009022	0.027675	0.000083	0.000636	0.007034	0.107977	0.880213	0.004776	
102000	-801.574970	1	0.000378	0.000003	0.000506	0.005701	0.060133	0.003936	0.015175	0.091345	0.014722	0.024003	0.000730	0.000430	0.007117	0.292884	0.694391	0.005608	
103000	-805.948270	1	0.000358	0.000027	0.000205	0.004608	0.063535	0.010173	0.024069	0.075786	0.003689	0.023971	0.000269	0.001083	0.001468	0.446418	0.549654	0.002460	
104000	-802.828331	1	0.000160	0.000299	0.000534	0.002292	0.050149	0.009735	0.022182	0.092264	0.011406	0.027250	0.000306	0.000777	0.006362	0.278362	0.709662	0.005614	
105000	-810.684292	1	0.000433	0.000110	0.000240	0.003927	0.024393	0.009566	0.022714	0.078245	0.017099	0.026779	0.000088	0.002574	0.008287	0.205338	0.761729	0.024646	
106000	-801.034876	1	0.000596	0.000035	0.000253	0.004816	0.060012	0.001117	0.009202	0.094295	0.025080	0.025601	0.000344	0.000113	0.061586	0.190799	0.737354	0.010260	
107000	-806.503410	1	0.000303	0.000078	0.000835	0.000621	0.027263	0.010192	0.022977	0.046288	0.011993	0.027925	0.000932	0.000379	0.003700	0.119176	0.871680	0.005444	
108000	-803.746388	1	0.000160	0.000266	0.000169	0.000195	0.057184	0.005073	0.021761	0.066341	0.022070	0.026806	0.001692	0.000018	0.002758	0.274865	0.715156	0.007220	
109000	-798.596065	1	0.000364	0.000097	0.000399	0.002403	0.056709	0.000848	0.020600	0.083663	0.023709	0.027387	0.000421	0.000264	0.005520	0.187079	0.804241	0.003160	
110000	-803.514380	1	0.000301	0.000546	0.000210	0.000985	0.049752	0.000180	0.022099	0.073762	0.035350	0.025197	0.001019	0.000366	0.039587	0.110006	0.839267	0.011140	
111000	-799.328221	1	0.000255	0.000248	0.000240	0.007052	0.033071	0.000449	0.011372	0.036919	0.018866	0.026065	0.000639	0.000124	0.009310	0.131763	0.855396	0.003530	
112000	-805.538328	1	0.000424	0.000092	0.000273	0.015674	0.013032	0.003720	0.004311	0.023894	0.009290	0.022570	0.001544	0.001044	0.009046	0.577027	0.374121	0.039806	
113000	-804.699421	1	0.000114	0.000233	0.000417	0.000829	0.055887	0.008447	0.032178	0.075497	0.002276	0.024279	0.001420	0.000358	0.001277	0.359896	0.635188	0.003638	
114000	-800.554391	1	0.000135	0.000400	0.000372	0.001768	0.039925	0.001321	0.012647	0.059633	0.035408	0.031319	0.000298	0.000052	0.009915	0.115454	0.872285	0.002346	
115000	-802.182927	1	0.000283	0.000235	0.000140	0.001391	0.032113	0.004930	0.013395	0.057168	0.027888	0.031999	0.000100	0.000006	0.007586	0.118216	0.873222	0.000976	
116000	-805.672875	1	0.000147	0.000543	0.000306	0.003350	0.030927	0.006410	0.014791	0.033052	0.013375	0.025924	0.000539	0.001221	0.031855	0.126356	0.817873	0.023916	
117000	-801.854434	1	0.000181	0.000180	0.000389	0.000740	0.026652	0.005216	0.024801	0.028838	0.012791	0.026994	0.000139	0.001997	0.001855	0.118743	0.871291	0.008111	
118000	-805.026310	1	0.000271	0.000113	0.000435	0.007416	0.031490	0.005386	0.019327	0.054846	0.010298	0.031619	0.000282	0.000582	0.001381	0.371014	0.625303	0.002303	
119000	-807.755570	1	0.000405	0.000134	0.000398	0.009062	0.034109	0.010945	0.018326	0.086235	0.005217	0.025738	0.001109	0.001082	0.004719	0.439394	0.547985	0.007902	
120000	-799.622202	1	0.000320	0.000137	0.000329	0.002475	0.069439	0.001512	0.017955	0.099395	0.017335	0.024732	0.000197	0.000714	0.016202	0.196159	0.777806	0.009832	
121000	-802.100063	1	0.000162	0.000226	0.000471	0.000796	0.055469	0.000435	0.032014	0.089946	0.024613	0.028039	0.001141	0.000695	0.002073	0.226901	0.764615	0.006411	
