Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.334000	0.439977	1000	0.334000	0.334000	0.267995	
1000	0.350000	0.439977	1000	0.350000	0.350000	0.269542	
1000	0.363000	0.439977	1000	0.363000	0.363000	0.271273	
1000	0.350000	0.439977	1000	0.350000	0.350000	0.272704	
1000	0.393000	0.439977	1000	0.393000	0.393000	0.274852	
1000	0.361000	0.439977	1000	0.361000	0.361000	0.276364	
1000	0.371000	0.439977	1000	0.371000	0.371000	0.277995	
1000	0.339000	0.439977	1000	0.339000	0.339000	0.279029	
1000	0.380000	0.439977	1000	0.380000	0.380000	0.280712	
1000	0.347000	0.439977	1000	0.347000	0.347000	0.281799	
1000	0.362000	0.439977	1000	0.362000	0.362000	0.283092	
1000	0.325000	0.439977	1000	0.325000	0.325000	0.283757	
1000	0.317000	0.439977	1000	0.317000	0.317000	0.284277	
1000	0.303000	0.439977	1000	0.303000	0.303000	0.284565	
1000	0.320000	0.439977	1000	0.320000	0.320000	0.285102	
1000	0.315000	0.439977	1000	0.315000	0.315000	0.285548	
1000	0.361000	0.439977	1000	0.361000	0.361000	0.286658	
1000	0.367000	0.439977	1000	0.367000	0.367000	0.287822	
1000	0.351000	0.439977	1000	0.351000	0.351000	0.288724	
1000	0.363000	0.439977	1000	0.363000	0.363000	0.289771	
1000	0.351000	0.439977	1000	0.351000	0.351000	0.290621	
1000	0.374000	0.439977	1000	0.374000	0.374000	0.291763	
1000	0.373000	0.439977	1000	0.373000	0.373000	0.292861	
1000	0.364000	0.439977	1000	0.364000	0.364000	0.293809	
1000	0.337000	0.439977	1000	0.337000	0.337000	0.294378	
1000	0.366000	0.439977	1000	0.366000	0.366000	0.295308	
1000	0.354000	0.439977	1000	0.354000	0.354000	0.296060	
1000	0.371000	0.439977	1000	0.371000	0.371000	0.297009	
1000	0.385000	0.439977	1000	0.385000	0.385000	0.298109	
1000	0.401000	0.439977	1000	0.401000	0.401000	0.299379	
1000	0.327000	0.453766	1000	0.327000	0.327000	0.299716	
1000	0.320000	0.453766	1000	0.320000	0.320000	0.299960	
1000	0.350000	0.453766	1000	0.350000	0.350000	0.300556	
1000	0.337000	0.453766	1000	0.337000	0.337000	0.300985	
1000	0.339000	0.453766	1000	0.339000	0.339000	0.301427	
1000	0.341000	0.453766	1000	0.341000	0.341000	0.301882	
1000	0.357000	0.453766	1000	0.357000	0.357000	0.302508	
1000	0.331000	0.453766	1000	0.331000	0.331000	0.302828	
1000	0.349000	0.453766	1000	0.349000	0.349000	0.303341	
1000	0.380000	0.453766	1000	0.380000	0.380000	0.304183	
1000	0.331000	0.453766	1000	0.331000	0.331000	0.304475	
1000	0.344000	0.453766	1000	0.344000	0.344000	0.304900	
1000	0.347000	0.453766	1000	0.347000	0.347000	0.305348	
1000	0.357000	0.453766	1000	0.357000	0.357000	0.305892	
1000	0.311000	0.453766	1000	0.311000	0.311000	0.305945	
1000	0.338000	0.453766	1000	0.338000	0.338000	0.306275	
1000	0.347000	0.453766	1000	0.347000	0.347000	0.306691	
1000	0.337000	0.453766	1000	0.337000	0.337000	0.306997	
1000	0.338000	0.453766	1000	0.338000	0.338000	0.307307	
1000	0.334000	0.453766	1000	0.334000	0.334000	0.307571	
1000	0.331000	0.453766	1000	0.331000	0.331000	0.307801	
1000	0.342000	0.453766	1000	0.342000	0.342000	0.308133	
1000	0.324000	0.453766	1000	0.324000	0.324000	0.308285	
1000	0.330000	0.453766	1000	0.330000	0.330000	0.308492	
1000	0.346000	0.453766	1000	0.346000	0.346000	0.308846	
1000	0.330000	0.453766	1000	0.330000	0.330000	0.309044	
1000	0.348000	0.453766	1000	0.348000	0.348000	0.309405	
1000	0.341000	0.453766	1000	0.341000	0.341000	0.309694	
1000	0.320000	0.453766	1000	0.320000	0.320000	0.309788	
1000	0.337000	0.453766	1000	0.337000	0.337000	0.310033	
1000	0.348000	0.453766	1000	0.348000	0.348000	0.310372	
1000	0.318000	0.453766	1000	0.318000	0.318000	0.310440	
1000	0.323000	0.453766	1000	0.323000	0.323000	0.310550	
1000	0.354000	0.453766	1000	0.354000	0.354000	0.310928	
1000	0.346000	0.453766	1000	0.346000	0.346000	0.311230	
1000	0.362000	0.453766	1000	0.362000	0.362000	0.311664	
1000	0.312000	0.453766	1000	0.312000	0.312000	0.311667	
1000	0.328000	0.453766	1000	0.328000	0.328000	0.311804	
1000	0.330000	0.453766	1000	0.330000	0.330000	0.311956	
1000	0.328000	0.453766	1000	0.328000	0.328000	0.312088	
1000	0.331000	0.453766	1000	0.331000	0.331000	0.312243	
1000	0.328000	0.453766	1000	0.328000	0.328000	0.312371	
1000	0.331000	0.453766	1000	0.331000	0.331000	0.312522	
1000	0.334000	0.453766	1000	0.334000	0.334000	0.312693	
1000	0.332000	0.453766	1000	0.332000	0.332000	0.312847	
1000	0.339000	0.453766	1000	0.339000	0.339000	0.313053	
