Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.334000	0.435687	1000	0.334000	0.334000	0.342455	
1000	0.356000	0.435687	1000	0.356000	0.356000	0.342892	
1000	0.351000	0.435687	1000	0.351000	0.351000	0.343146	
1000	0.342000	0.435687	1000	0.342000	0.342000	0.343111	
1000	0.334000	0.435687	1000	0.334000	0.334000	0.342843	
1000	0.316000	0.435687	1000	0.316000	0.316000	0.342076	
1000	0.338000	0.435687	1000	0.338000	0.338000	0.341963	
1000	0.298000	0.435687	1000	0.298000	0.298000	0.340775	
1000	0.322000	0.435687	1000	0.322000	0.322000	0.340281	
1000	0.378000	0.435687	1000	0.378000	0.378000	0.341248	
1000	0.347000	0.435687	1000	0.347000	0.347000	0.341391	
1000	0.318000	0.435687	1000	0.318000	0.318000	0.340821	
1000	0.342000	0.435687	1000	0.342000	0.342000	0.340849	
1000	0.323000	0.435687	1000	0.323000	0.323000	0.340434	
1000	0.339000	0.435687	1000	0.339000	0.339000	0.340401	
1000	0.337000	0.435687	1000	0.337000	0.337000	0.340326	
1000	0.332000	0.435687	1000	0.332000	0.332000	0.340145	
1000	0.335000	0.435687	1000	0.335000	0.335000	0.340035	
1000	0.338000	0.435687	1000	0.338000	0.338000	0.339993	
1000	0.329000	0.435687	1000	0.329000	0.329000	0.339769	
1000	0.333000	0.435687	1000	0.333000	0.333000	0.339633	
1000	0.336000	0.435687	1000	0.336000	0.336000	0.339562	
1000	0.335000	0.435687	1000	0.335000	0.335000	0.339474	
1000	0.318000	0.435687	1000	0.318000	0.318000	0.339069	
1000	0.338000	0.435687	1000	0.338000	0.338000	0.339049	
1000	0.324000	0.435687	1000	0.324000	0.324000	0.338776	
1000	0.347000	0.435687	1000	0.347000	0.347000	0.338923	
1000	0.344000	0.435687	1000	0.344000	0.344000	0.339012	
1000	0.348000	0.435687	1000	0.348000	0.348000	0.339167	
1000	0.326000	0.435687	1000	0.326000	0.326000	0.338943	
1000	0.324000	0.435687	1000	0.324000	0.324000	0.338694	
1000	0.311000	0.435687	1000	0.311000	0.311000	0.338240	
1000	0.317000	0.435687	1000	0.317000	0.317000	0.337898	
1000	0.309000	0.435687	1000	0.309000	0.309000	0.337439	
1000	0.308000	0.435687	1000	0.308000	0.308000	0.336979	
1000	0.351000	0.435687	1000	0.351000	0.351000	0.337195	
1000	0.327000	0.435687	1000	0.327000	0.327000	0.337040	
1000	0.336000	0.435687	1000	0.336000	0.336000	0.337025	
1000	0.325000	0.435687	1000	0.325000	0.325000	0.336848	
1000	0.344000	0.435687	1000	0.344000	0.344000	0.336952	
