Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.269000	0.508591	1000	0.269000	0.269000	0.255895	
1000	0.252000	0.508591	1000	0.252000	0.252000	0.255872	
1000	0.272000	0.508591	1000	0.272000	0.272000	0.255969	
1000	0.253000	0.508591	1000	0.253000	0.253000	0.255951	
1000	0.240000	0.508591	1000	0.240000	0.240000	0.255856	
1000	0.278000	0.508591	1000	0.278000	0.278000	0.255987	
1000	0.312000	0.508591	1000	0.312000	0.312000	0.256314	
1000	0.249000	0.508591	1000	0.249000	0.249000	0.256272	
1000	0.250000	0.508591	1000	0.250000	0.250000	0.256236	
1000	0.261000	0.508591	1000	0.261000	0.261000	0.256263	
1000	0.218000	0.508591	1000	0.218000	0.218000	0.256044	
1000	0.246000	0.508591	1000	0.246000	0.246000	0.255987	
1000	0.238000	0.508591	1000	0.238000	0.238000	0.255886	
1000	0.287000	0.508591	1000	0.287000	0.287000	0.256060	
1000	0.253000	0.508591	1000	0.253000	0.253000	0.256043	
1000	0.230000	0.508591	1000	0.230000	0.230000	0.255899	
1000	0.258000	0.508591	1000	0.258000	0.258000	0.255910	
1000	0.277000	0.508591	1000	0.277000	0.277000	0.256026	
1000	0.244000	0.508591	1000	0.244000	0.244000	0.255960	
1000	0.224000	0.508591	1000	0.224000	0.224000	0.255787	
1000	0.269000	0.508591	1000	0.269000	0.269000	0.255858	
1000	0.289000	0.508591	1000	0.289000	0.289000	0.256036	
1000	0.237000	0.508591	1000	0.237000	0.237000	0.255934	
1000	0.225000	0.508591	1000	0.225000	0.225000	0.255770	
1000	0.283000	0.508591	1000	0.283000	0.283000	0.255914	
1000	0.275000	0.508591	1000	0.275000	0.275000	0.256014	
1000	0.278000	0.508591	1000	0.278000	0.278000	0.256130	
1000	0.256000	0.508591	1000	0.256000	0.256000	0.256129	
1000	0.258000	0.508591	1000	0.258000	0.258000	0.256139	
1000	0.300000	0.508591	1000	0.300000	0.300000	0.256365	
1000	0.311000	0.508591	1000	0.311000	0.311000	0.256645	
1000	0.232000	0.508591	1000	0.232000	0.232000	0.256519	
1000	0.235000	0.508591	1000	0.235000	0.235000	0.256410	
