Options:
Model:                           MultiState
Tree File Name:                  data/zun_genus_phylo_nat_26-09-24_class.tre
Data File Name:                  data/zun_genus_phylo_nat_26-09-24_class.txt
Log File Name:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            643823919
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2162
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
43000	-804.268936	1	0.000444	0.000066	0.000664	0.006734	0.018704	0.008740	0.005326	0.034003	0.007616	0.028514	0.001355	0.000018	0.087705	0.512082	0.297667	0.102546	
44000	-800.743604	1	0.000367	0.000228	0.000420	0.001302	0.054863	0.006438	0.022661	0.068834	0.010107	0.026864	0.000430	0.000079	0.011363	0.203132	0.783083	0.002422	
45000	-804.802045	1	0.000013	0.000377	0.000321	0.012009	0.047103	0.002177	0.000771	0.061557	0.017586	0.028090	0.000015	0.000431	0.012912	0.482564	0.499491	0.005033	
46000	-804.644999	1	0.000015	0.000457	0.000476	0.015213	0.033112	0.000860	0.000400	0.069644	0.019475	0.027947	0.000009	0.000428	0.007685	0.533279	0.456709	0.002326	
47000	-801.179133	1	0.000236	0.000259	0.000247	0.001941	0.021317	0.000517	0.014906	0.016953	0.024795	0.028648	0.000008	0.001541	0.005056	0.036470	0.948792	0.009682	
48000	-805.974663	1	0.000136	0.000200	0.000178	0.001778	0.039655	0.004419	0.024782	0.095157	0.022068	0.024271	0.000113	0.001918	0.004391	0.133358	0.842348	0.019903	
49000	-801.721207	1	0.000001	0.000591	0.000348	0.003677	0.046059	0.003747	0.025170	0.092223	0.013034	0.024250	0.000082	0.000490	0.019431	0.172692	0.804081	0.003796	
50000	-805.891530	1	0.000001	0.000580	0.000464	0.003056	0.056437	0.002193	0.024747	0.077212	0.016328	0.024740	0.002292	0.000806	0.010658	0.195000	0.768737	0.025604	
51000	-806.878581	1	0.000003	0.000335	0.000443	0.008031	0.045545	0.000325	0.003960	0.056906	0.028545	0.029667	0.000772	0.002482	0.004997	0.196334	0.739623	0.059047	
52000	-799.347326	1	0.000297	0.000228	0.000343	0.001277	0.061009	0.004116	0.018406	0.072812	0.015575	0.027220	0.000101	0.000335	0.011973	0.193550	0.790892	0.003585	
53000	-803.839413	1	0.000399	0.000210	0.000535	0.000874	0.035049	0.005298	0.037792	0.056888	0.006563	0.021822	0.000171	0.000536	0.006751	0.090989	0.900292	0.001967	
54000	-799.895848	1	0.000327	0.000181	0.000201	0.001348	0.037370	0.001464	0.021804	0.053174	0.015272	0.026159	0.000110	0.000099	0.008516	0.073036	0.917059	0.001388	
55000	-807.089416	1	0.000146	0.000160	0.000512	0.001000	0.041278	0.011175	0.031886	0.081317	0.005933	0.027209	0.002392	0.000987	0.001370	0.334778	0.646096	0.017756	
56000	-801.703845	1	0.000290	0.000174	0.000463	0.000056	0.045809	0.000168	0.021037	0.056878	0.018192	0.020314	0.000101	0.001144	0.039356	0.069841	0.880486	0.010317	
57000	-799.174160	1	0.000304	0.000079	0.000243	0.000653	0.035210	0.000052	0.020031	0.039897	0.031905	0.027499	0.000854	0.000376	0.002339	0.089460	0.902991	0.005211	
58000	-801.601278	1	0.000291	0.000004	0.000396	0.006997	0.064585	0.001689	0.011475	0.081638	0.022680	0.029614	0.000411	0.000035	0.001145	0.393952	0.603910	0.000993	
59000	-801.126998	1	0.000124	0.000501	0.000209	0.002575	0.034733	0.007075	0.019657	0.063926	0.016856	0.026625	0.000362	0.000195	0.017732	0.158108	0.820131	0.004028	
60000	-805.174533	1	0.000170	0.000270	0.000267	0.002880	0.019337	0.006188	0.008003	0.038171	0.017178	0.026683	0.000076	0.002233	0.043045	0.045440	0.673101	0.238414	
61000	-806.765473	1	0.000202	0.000501	0.000125	0.005280	0.008379	0.010179	0.007776	0.017670	0.016412	0.031724	0.000545	0.000413	0.018648	0.296278	0.668030	0.017044	
62000	-803.434178	1	0.000294	0.000261	0.000344	0.002746	0.058052	0.002380	0.015046	0.067430	0.029282	0.026741	0.001122	0.000502	0.011006	0.224493	0.753412	0.011090	
63000	-805.136374	1	0.000097	0.000475	0.000451	0.002154	0.025786	0.009248	0.027353	0.042376	0.002811	0.020270	0.000632	0.000864	0.015390	0.064751	0.915743	0.004116	
64000	-799.383834	1	0.000295	0.000214	0.000303	0.002604	0.043205	0.001158	0.015067	0.057499	0.028287	0.031676	0.000248	0.000304	0.005175	0.151998	0.839518	0.003308	
65000	-801.203042	1	0.000368	0.000111	0.000127	0.006094	0.021546	0.000991	0.010587	0.011739	0.021331	0.028333	0.000005	0.000063	0.008767	0.334884	0.655670	0.000679	
