Options:
Model:                           MultiState
Tree File Name:                  data/jan_genus_phylo_nat_26-09-24_class.tre
Data File Name:                  data/jan_genus_phylo_nat_26-09-24_class.txt
Log File Name:                   data/jan_genus_phylo_nat_26-09-24_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3923769647
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/jan_genus_phylo_nat_26-09-24_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2458
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
48000	-902.650921	1	0.000083	0.000194	0.000204	0.001276	0.059175	0.000638	0.027740	0.099672	0.012542	0.016247	0.000504	0.000240	0.058171	0.410059	0.513124	0.018646	
49000	-899.514519	1	0.000387	0.000108	0.000180	0.001692	0.015253	0.000485	0.011004	0.009899	0.022017	0.018141	0.000259	0.000160	0.374934	0.043740	0.519660	0.061667	
50000	-904.157824	1	0.000229	0.000130	0.000141	0.002082	0.051463	0.002198	0.012730	0.084145	0.010670	0.016315	0.001278	0.000376	0.462204	0.074789	0.153133	0.309874	
51000	-903.311122	1	0.000032	0.000295	0.000262	0.000198	0.027713	0.003013	0.030918	0.042708	0.002891	0.011488	0.000575	0.000599	0.099071	0.167939	0.721440	0.011550	
52000	-901.890447	1	0.000113	0.000326	0.000176	0.005859	0.038492	0.006024	0.006846	0.061000	0.001399	0.015924	0.000217	0.000078	0.740958	0.088142	0.087730	0.083170	
53000	-902.763560	1	0.000203	0.000123	0.000283	0.006049	0.039426	0.000972	0.005456	0.054441	0.009758	0.019184	0.000308	0.000208	0.564022	0.125708	0.162539	0.147731	
54000	-905.367283	1	0.000186	0.000301	0.000265	0.000133	0.053054	0.001438	0.032252	0.082753	0.011020	0.017514	0.000384	0.000582	0.104027	0.356846	0.509556	0.029570	
55000	-898.611503	1	0.000219	0.000040	0.000240	0.000175	0.025950	0.003702	0.029038	0.035304	0.003928	0.014065	0.000608	0.000231	0.055516	0.179920	0.754273	0.010291	
56000	-899.399211	1	0.000145	0.000147	0.000301	0.003531	0.019837	0.003080	0.017562	0.028800	0.009287	0.015786	0.000289	0.000792	0.136570	0.158611	0.664513	0.040306	
57000	-897.586132	1	0.000405	0.000041	0.000309	0.000556	0.026530	0.001222	0.017565	0.024246	0.015290	0.017320	0.000059	0.000562	0.272833	0.107354	0.568928	0.050884	
58000	-901.410709	1	0.000163	0.000317	0.000160	0.000016	0.028523	0.006066	0.027304	0.050482	0.000650	0.013454	0.000300	0.000726	0.302370	0.121563	0.542143	0.033923	
59000	-896.141037	1	0.000179	0.000177	0.000258	0.000595	0.015978	0.005557	0.022588	0.014990	0.004747	0.014933	0.000402	0.000265	0.085994	0.089034	0.812194	0.012777	
60000	-901.477375	1	0.000250	0.000097	0.000254	0.012893	0.010884	0.000490	0.006243	0.012153	0.011007	0.013954	0.000874	0.000202	0.132281	0.602250	0.242335	0.023135	
61000	-897.994922	1	0.000217	0.000264	0.000149	0.001069	0.032822	0.000918	0.012863	0.041347	0.013926	0.016261	0.000122	0.000221	0.649881	0.049592	0.222279	0.078247	
62000	-895.398831	1	0.000234	0.000143	0.000325	0.000049	0.018470	0.002793	0.018027	0.014072	0.010211	0.017349	0.000017	0.000098	0.143930	0.080008	0.757252	0.018811	
63000	-900.623085	1	0.000278	0.000164	0.000251	0.000564	0.061259	0.008257	0.013240	0.093292	0.000125	0.017968	0.000062	0.000417	0.699199	0.065392	0.116085	0.119324	
64000	-897.739598	1	0.000424	0.000039	0.000201	0.001022	0.027679	0.003020	0.014460	0.033366	0.007836	0.013588	0.000077	0.000240	0.599432	0.054585	0.297585	0.048398	
65000	-898.826324	1	0.000095	0.000320	0.000246	0.000988	0.022900	0.000200	0.028592	0.031062	0.012426	0.014570	0.000239	0.000771	0.136564	0.127880	0.710606	0.024950	
66000	-900.136114	1	0.000347	0.000041	0.000243	0.005225	0.059800	0.000651	0.006583	0.086314	0.017922	0.016915	0.000651	0.000132	0.590327	0.134917	0.168275	0.106481	
67000	-898.109937	1	0.000114	0.000216	0.000189	0.002981	0.015982	0.000348	0.021321	0.013944	0.010753	0.015827	0.000219	0.000017	0.059213	0.115203	0.818181	0.007402	
68000	-898.813116	1	0.000159	0.000128	0.000162	0.000573	0.018956	0.002666	0.027459	0.015439	0.009455	0.014270	0.000933	0.000080	0.047746	0.142050	0.800167	0.010037	
69000	-904.313870	1	0.000170	0.000345	0.000229	0.002860	0.044587	0.005951	0.015245	0.096342	0.006641	0.016425	0.000099	0.001365	0.597667	0.100469	0.177577	0.124288	
70000	-898.148329	1	0.000268	0.000080	0.000224	0.001453	0.016966	0.000802	0.018696	0.008838	0.012776	0.013601	0.001020	0.000406	0.153314	0.078899	0.743538	0.024250	
71000	-901.288031	1	0.000147	0.000190	0.000258	0.003219	0.037799	0.005377	0.014281	0.057030	0.006327	0.018651	0.000092	0.000573	0.231307	0.249726	0.446743	0.072225	
72000	-900.185081	1	0.000198	0.000213	0.000347	0.000723	0.060208	0.006167	0.011432	0.087931	0.003032	0.015610	0.000200	0.000066	0.823017	0.028974	0.065455	0.082554	
73000	-900.816116	1	0.000464	0.000078	0.000233	0.001675	0.031110	0.007609	0.013703	0.046938	0.001753	0.016742	0.000487	0.000087	0.662672	0.062199	0.186053	0.089076	
74000	-897.787472	1	0.000329	0.000118	0.000337	0.001854	0.020018	0.000691	0.010365	0.020754	0.015413	0.014367	0.000383	0.000045	0.685520	0.028150	0.227237	0.059093	
75000	-896.911492	1	0.000117	0.000235	0.000281	0.000809	0.029163	0.000521	0.017542	0.028131	0.009683	0.013465	0.000126	0.000109	0.323654	0.105730	0.545554	0.025062	
76000	-897.003758	1	0.000205	0.000049	0.000156	0.000174	0.020442	0.001280	0.021525	0.013286	0.009040	0.013398	0.000347	0.000242	0.055285	0.107152	0.829908	0.007655	
77000	-899.002661	1	0.000254	0.000103	0.000216	0.009341	0.023017	0.002660	0.001710	0.036020	0.009690	0.014345	0.000474	0.000358	0.659413	0.195495	0.071371	0.073720	
78000	-896.212605	1	0.000180	0.000066	0.000213	0.010457	0.009307	0.006250	0.001004	0.020267	0.002983	0.016655	0.000198	0.000283	0.217615	0.658920	0.079965	0.043501	
79000	-895.804565	1	0.000102	0.000161	0.000296	0.010754	0.010016	0.007157	0.000598	0.033162	0.000220	0.016909	0.000046	0.000042	0.195619	0.645586	0.135058	0.023738	
80000	-897.506213	1	0.000340	0.000129	0.000180	0.012804	0.005907	0.006508	0.000383	0.023029	0.003653	0.013130	0.001371	0.000041	0.348465	0.537460	0.073455	0.040619	
81000	-897.404175	1	0.000070	0.000160	0.000271	0.010288	0.003303	0.005415	0.001047	0.020614	0.000535	0.014920	0.000162	0.000190	0.244984	0.653971	0.071120	0.029925	
82000	-894.166618	1	0.000186	0.000099	0.000312	0.010404	0.008163	0.006808	0.001906	0.018909	0.002017	0.015854	0.000156	0.000120	0.282886	0.608322	0.072738	0.036054	
