Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
821	0.344702	179	0.826816	0.098536	821	0.344702	0.431000	0.374586	
845	0.307692	155	0.787097	0.098536	845	0.307692	0.382000	0.374637	
835	0.350898	165	0.866667	0.098536	835	0.350898	0.436000	0.375052	
810	0.259259	190	0.915789	0.098536	810	0.259259	0.384000	0.375112	
809	0.357231	191	0.858639	0.098536	809	0.357231	0.453000	0.375631	
803	0.283935	197	0.868020	0.098536	803	0.283935	0.399000	0.375786	
830	0.271084	170	0.858824	0.098536	830	0.271084	0.371000	0.375754	
851	0.374853	149	0.892617	0.098536	851	0.374853	0.452000	0.376252	
815	0.241718	185	0.875676	0.098536	815	0.241718	0.359000	0.376140	
825	0.316364	175	0.914286	0.098536	825	0.316364	0.421000	0.376430	
836	0.377990	164	0.939024	0.098536	836	0.377990	0.470000	0.377030	
812	0.358374	188	0.861702	0.098536	812	0.358374	0.453000	0.377514	
837	0.338112	163	0.901840	0.098536	837	0.338112	0.430000	0.377846	
802	0.352868	198	0.909091	0.098536	802	0.352868	0.463000	0.378381	
845	0.320710	155	0.870968	0.098536	845	0.320710	0.406000	0.378554	
843	0.281139	157	0.859873	0.098536	843	0.281139	0.372000	0.378513	
825	0.270303	175	0.942857	0.098536	825	0.270303	0.388000	0.378572	
842	0.326603	158	0.905063	0.098536	842	0.326603	0.418000	0.378814	
806	0.361042	194	0.871134	0.098536	806	0.361042	0.460000	0.379309	
814	0.300983	186	0.903226	0.098536	814	0.300983	0.413000	0.379513	
832	0.276442	168	0.904762	0.098536	832	0.276442	0.382000	0.379528	
823	0.302552	177	0.881356	0.098536	823	0.302552	0.405000	0.379680	
835	0.312575	165	0.939394	0.098536	835	0.312575	0.416000	0.379897	
853	0.342321	147	0.884354	0.098536	853	0.342321	0.422000	0.380146	
831	0.187726	169	0.828402	0.098536	831	0.187726	0.296000	0.379651	
824	0.456311	176	0.835227	0.065455	824	0.456311	0.523000	0.380489	
818	0.238386	182	0.840659	0.125401	818	0.238386	0.348000	0.380300	
814	0.292383	186	0.865591	0.125401	814	0.292383	0.399000	0.380408	
837	0.223417	163	0.883436	0.125401	837	0.223417	0.331000	0.380124	
837	0.203106	163	0.871166	0.125401	837	0.203106	0.312000	0.379735	
813	0.177122	187	0.828877	0.125401	813	0.177122	0.299000	0.379276	
